Category: All categories

Week,Kaffee: (Germany)
2018-04-15,66
2018-04-22,74
2018-04-29,74
2018-05-06,71
2018-05-13,71
2018-05-20,69
2018-05-27,65
2018-06-03,69
2018-06-10,68
2018-06-17,68
2018-06-24,67
2018-07-01,69
2018-07-08,71
2018-07-15,74
2018-07-22,72
2018-07-29,69
2018-08-05,72
2018-08-12,75
2018-08-19,78
2018-08-26,79
2018-09-02,75
2018-09-09,78
2018-09-16,77
2018-09-23,78
2018-09-30,89
2018-10-07,78
2018-10-14,79
2018-10-21,84
2018-10-28,83
2018-11-04,84
2018-11-11,91
2018-11-18,88
2018-11-25,89
2018-12-02,83
2018-12-09,85
2018-12-16,91
2018-12-23,87
2018-12-30,91
2019-01-06,86
2019-01-13,88
2019-01-20,87
2019-01-27,95
2019-02-03,86
2019-02-10,89
2019-02-17,87
2019-02-24,90
2019-03-03,90
2019-03-10,93
2019-03-17,89
2019-03-24,89
2019-03-31,83
2019-04-07,86
2019-04-14,87
2019-04-21,78
2019-04-28,88
2019-05-05,88
2019-05-12,85
2019-05-19,80
2019-05-26,79
2019-06-02,76
2019-06-09,80
2019-06-16,77
2019-06-23,68
2019-06-30,78
2019-07-07,79
2019-07-14,84
2019-07-21,78
2019-07-28,83
2019-08-04,84
2019-08-11,90
2019-08-18,83
2019-08-25,78
2019-09-01,84
2019-09-08,81
2019-09-15,82
2019-09-22,86
2019-09-29,96
2019-10-06,89
2019-10-13,86
2019-10-20,83
2019-10-27,92
2019-11-03,91
2019-11-10,91
2019-11-17,92
2019-11-24,87
2019-12-01,93
2019-12-08,94
2019-12-15,93
2019-12-22,100
2019-12-29,95
2020-01-05,96
2020-01-12,94
2020-01-19,99
2020-01-26,93
2020-02-02,94
2020-02-09,97
2020-02-16,95
2020-02-23,87
2020-03-01,90
2020-03-08,78
2020-03-15,64
2020-03-22,73
2020-03-29,83
2020-04-05,81
2020-04-12,87
2020-04-19,84
2020-04-26,83
2020-05-03,92
2020-05-10,89
2020-05-17,96
2020-05-24,92
2020-05-31,93
2020-06-07,95
2020-06-14,89
2020-06-21,91
2020-06-28,93
2020-07-05,92
2020-07-12,93
2020-07-19,93
2020-07-26,95
2020-08-02,90
2020-08-09,90
2020-08-16,92
2020-08-23,99
2020-08-30,93
2020-09-06,96
2020-09-13,91
2020-09-20,94
2020-09-27,97
2020-10-04,92
2020-10-11,95
2020-10-18,93
2020-10-25,89
2020-11-01,76
