Category: All categories

Week,bohnen: (Germany)
2018-11-04,40
2018-11-11,41
2018-11-18,40
2018-11-25,41
2018-12-02,40
2018-12-09,41
2018-12-16,45
2018-12-23,54
2018-12-30,47
2019-01-06,48
2019-01-13,47
2019-01-20,47
2019-01-27,46
2019-02-03,44
2019-02-10,47
2019-02-17,46
2019-02-24,36
2019-03-03,41
2019-03-10,45
2019-03-17,39
2019-03-24,41
2019-03-31,46
2019-04-07,47
2019-04-14,46
2019-04-21,48
2019-04-28,46
2019-05-05,43
2019-05-12,43
2019-05-19,42
2019-05-26,36
2019-06-02,35
2019-06-09,40
2019-06-16,37
2019-06-23,38
2019-06-30,46
2019-07-07,56
2019-07-14,60
2019-07-21,69
2019-07-28,78
2019-08-04,75
2019-08-11,72
2019-08-18,59
2019-08-25,59
2019-09-01,63
2019-09-08,57
2019-09-15,57
2019-09-22,53
2019-09-29,53
2019-10-06,51
2019-10-13,45
2019-10-20,41
2019-10-27,38
2019-11-03,45
2019-11-10,44
2019-11-17,42
2019-11-24,41
2019-12-01,35
2019-12-08,48
2019-12-15,45
2019-12-22,53
2019-12-29,49
2020-01-05,55
2020-01-12,56
2020-01-19,56
2020-01-26,49
2020-02-02,51
2020-02-09,52
2020-02-16,46
2020-02-23,51
2020-03-01,49
2020-03-08,41
2020-03-15,45
2020-03-22,54
2020-03-29,55
2020-04-05,65
2020-04-12,67
2020-04-19,58
2020-04-26,61
2020-05-03,58
2020-05-10,60
2020-05-17,62
2020-05-24,60
2020-05-31,58
2020-06-07,52
2020-06-14,58
2020-06-21,50
2020-06-28,56
2020-07-05,67
2020-07-12,79
2020-07-19,93
2020-07-26,100
2020-08-02,99
2020-08-09,85
2020-08-16,82
2020-08-23,79
2020-08-30,66
2020-09-06,57
2020-09-13,59
2020-09-20,59
2020-09-27,65
2020-10-04,55
2020-10-11,60
2020-10-18,52
2020-10-25,48
2020-11-01,50
