Category: All categories

Week,kochen: (Germany)
2018-11-04,48
2018-11-11,48
2018-11-18,46
2018-11-25,44
2018-12-02,44
2018-12-09,47
2018-12-16,50
2018-12-23,61
2018-12-30,57
2019-01-06,50
2019-01-13,49
2019-01-20,50
2019-01-27,49
2019-02-03,48
2019-02-10,46
2019-02-17,44
2019-02-24,42
2019-03-03,46
2019-03-10,48
2019-03-17,47
2019-03-24,46
2019-03-31,47
2019-04-07,59
2019-04-14,82
2019-04-21,61
2019-04-28,65
2019-05-05,64
2019-05-12,60
2019-05-19,53
2019-05-26,49
2019-06-02,43
2019-06-09,46
2019-06-16,44
2019-06-23,37
2019-06-30,37
2019-07-07,41
2019-07-14,41
2019-07-21,39
2019-07-28,41
2019-08-04,44
2019-08-11,45
2019-08-18,44
2019-08-25,44
2019-09-01,48
2019-09-08,46
2019-09-15,47
2019-09-22,49
2019-09-29,55
2019-10-06,56
2019-10-13,54
2019-10-20,55
2019-10-27,56
2019-11-03,55
2019-11-10,59
2019-11-17,55
2019-11-24,49
2019-12-01,51
2019-12-08,51
2019-12-15,53
2019-12-22,75
2019-12-29,63
2020-01-05,56
2020-01-12,56
2020-01-19,57
2020-01-26,53
2020-02-02,53
2020-02-09,51
2020-02-16,50
2020-02-23,52
2020-03-01,51
2020-03-08,47
2020-03-15,50
2020-03-22,63
2020-03-29,72
2020-04-05,100
2020-04-12,84
2020-04-19,78
2020-04-26,82
2020-05-03,73
2020-05-10,74
2020-05-17,67
2020-05-24,60
2020-05-31,59
2020-06-07,58
2020-06-14,54
2020-06-21,49
2020-06-28,48
2020-07-05,48
2020-07-12,49
2020-07-19,47
2020-07-26,48
2020-08-02,48
2020-08-09,45
2020-08-16,47
2020-08-23,53
2020-08-30,51
2020-09-06,52
2020-09-13,48
2020-09-20,53
2020-09-27,54
2020-10-04,54
2020-10-11,61
2020-10-18,61
2020-10-25,59
2020-11-01,56
