Category: All categories

Week,reis: (Germany)
2018-11-04,65
2018-11-11,68
2018-11-18,65
2018-11-25,62
2018-12-02,57
2018-12-09,61
2018-12-16,57
2018-12-23,56
2018-12-30,82
2019-01-06,87
2019-01-13,83
2019-01-20,83
2019-01-27,79
2019-02-03,79
2019-02-10,79
2019-02-17,74
2019-02-24,71
2019-03-03,79
2019-03-10,79
2019-03-17,77
2019-03-24,72
2019-03-31,68
2019-04-07,69
2019-04-14,68
2019-04-21,58
2019-04-28,71
2019-05-05,72
2019-05-12,66
2019-05-19,72
2019-05-26,64
2019-06-02,66
2019-06-09,60
2019-06-16,64
2019-06-23,57
2019-06-30,62
2019-07-07,64
2019-07-14,65
2019-07-21,65
2019-07-28,71
2019-08-04,74
2019-08-11,72
2019-08-18,67
2019-08-25,66
2019-09-01,69
2019-09-08,69
2019-09-15,69
2019-09-22,66
2019-09-29,69
2019-10-06,71
2019-10-13,75
2019-10-20,74
2019-10-27,73
2019-11-03,72
2019-11-10,73
2019-11-17,76
2019-11-24,68
2019-12-01,65
2019-12-08,74
2019-12-15,63
2019-12-22,65
2019-12-29,89
2020-01-05,95
2020-01-12,94
2020-01-19,100
2020-01-26,90
2020-02-02,88
2020-02-09,88
2020-02-16,82
2020-02-23,92
2020-03-01,92
2020-03-08,91
2020-03-15,82
2020-03-22,96
2020-03-29,99
2020-04-05,94
2020-04-12,90
2020-04-19,91
2020-04-26,100
2020-05-03,97
2020-05-10,92
2020-05-17,86
2020-05-24,87
2020-05-31,83
2020-06-07,92
2020-06-14,92
2020-06-21,81
2020-06-28,83
2020-07-05,90
2020-07-12,87
2020-07-19,86
2020-07-26,82
2020-08-02,84
2020-08-09,80
2020-08-16,89
2020-08-23,88
2020-08-30,86
2020-09-06,81
2020-09-13,84
2020-09-20,83
2020-09-27,79
2020-10-04,81
2020-10-11,85
2020-10-18,88
2020-10-25,82
2020-11-01,80
