Category: All categories

Week,koken: (Netherlands)
2018-11-04,55
2018-11-11,48
2018-11-18,50
2018-11-25,53
2018-12-02,46
2018-12-09,51
2018-12-16,48
2018-12-23,73
2018-12-30,52
2019-01-06,56
2019-01-13,55
2019-01-20,50
2019-01-27,49
2019-02-03,54
2019-02-10,51
2019-02-17,50
2019-02-24,44
2019-03-03,50
2019-03-10,49
2019-03-17,48
2019-03-24,52
2019-03-31,55
2019-04-07,61
2019-04-14,67
2019-04-21,74
2019-04-28,68
2019-05-05,64
2019-05-12,61
2019-05-19,53
2019-05-26,55
2019-06-02,49
2019-06-09,51
2019-06-16,46
2019-06-23,40
2019-06-30,40
2019-07-07,43
2019-07-14,46
2019-07-21,41
2019-07-28,46
2019-08-04,51
2019-08-11,55
2019-08-18,51
2019-08-25,47
2019-09-01,53
2019-09-08,52
2019-09-15,52
2019-09-22,56
2019-09-29,50
2019-10-06,52
2019-10-13,52
2019-10-20,52
2019-10-27,52
2019-11-03,59
2019-11-10,55
2019-11-17,55
2019-11-24,52
2019-12-01,48
2019-12-08,50
2019-12-15,49
2019-12-22,70
2019-12-29,50
2020-01-05,55
2020-01-12,57
2020-01-19,54
2020-01-26,50
2020-02-02,55
2020-02-09,51
2020-02-16,51
2020-02-23,52
2020-03-01,47
2020-03-08,46
2020-03-15,53
2020-03-22,61
2020-03-29,71
2020-04-05,75
2020-04-12,100
2020-04-19,87
2020-04-26,89
2020-05-03,77
2020-05-10,81
2020-05-17,73
2020-05-24,60
2020-05-31,56
2020-06-07,61
2020-06-14,58
2020-06-21,47
2020-06-28,52
2020-07-05,52
2020-07-12,52
2020-07-19,53
2020-07-26,54
2020-08-02,53
2020-08-09,45
2020-08-16,51
2020-08-23,54
2020-08-30,58
2020-09-06,59
2020-09-13,55
2020-09-20,57
2020-09-27,65
2020-10-04,64
2020-10-11,63
2020-10-18,66
2020-10-25,63
2020-11-01,59
