Categorie: Alle categorieën

Week,toiletpapier: (Nederland)
2018-11-04,6
2018-11-11,7
2018-11-18,6
2018-11-25,8
2018-12-02,4
2018-12-09,7
2018-12-16,6
2018-12-23,4
2018-12-30,8
2019-01-06,8
2019-01-13,6
2019-01-20,8
2019-01-27,4
2019-02-03,4
2019-02-10,7
2019-02-17,9
2019-02-24,7
2019-03-03,9
2019-03-10,6
2019-03-17,7
2019-03-24,7
2019-03-31,5
2019-04-07,7
2019-04-14,5
2019-04-21,6
2019-04-28,8
2019-05-05,6
2019-05-12,7
2019-05-19,4
2019-05-26,5
2019-06-02,6
2019-06-09,4
2019-06-16,8
2019-06-23,7
2019-06-30,5
2019-07-07,9
2019-07-14,4
2019-07-21,5
2019-07-28,7
2019-08-04,11
2019-08-11,9
2019-08-18,3
2019-08-25,6
2019-09-01,8
2019-09-08,6
2019-09-15,6
2019-09-22,5
2019-09-29,7
2019-10-06,8
2019-10-13,9
2019-10-20,8
2019-10-27,8
2019-11-03,5
2019-11-10,7
2019-11-17,5
2019-11-24,10
2019-12-01,3
2019-12-08,7
2019-12-15,3
2019-12-22,5
2019-12-29,6
2020-01-05,13
2020-01-12,11
2020-01-19,7
2020-01-26,8
2020-02-02,9
2020-02-09,8
2020-02-16,7
2020-02-23,12
2020-03-01,14
2020-03-08,87
2020-03-15,100
2020-03-22,34
2020-03-29,15
2020-04-05,8
2020-04-12,11
2020-04-19,9
2020-04-26,11
2020-05-03,8
2020-05-10,11
2020-05-17,6
2020-05-24,12
2020-05-31,8
2020-06-07,10
2020-06-14,8
2020-06-21,7
2020-06-28,6
2020-07-05,6
2020-07-12,8
2020-07-19,7
2020-07-26,5
2020-08-02,12
2020-08-09,8
2020-08-16,10
2020-08-23,8
2020-08-30,8
2020-09-06,8
2020-09-13,8
2020-09-20,8
2020-09-27,7
2020-10-04,11
2020-10-11,12
2020-10-18,12
2020-10-25,5
2020-11-01,9
