Category: All categories

Week,rice: (United Kingdom)
2018-11-04,54
2018-11-11,55
2018-11-18,53
2018-11-25,49
2018-12-02,54
2018-12-09,44
2018-12-16,45
2018-12-23,46
2018-12-30,63
2019-01-06,77
2019-01-13,76
2019-01-20,67
2019-01-27,63
2019-02-03,72
2019-02-10,66
2019-02-17,62
2019-02-24,60
2019-03-03,62
2019-03-10,61
2019-03-17,70
2019-03-24,62
2019-03-31,60
2019-04-07,65
2019-04-14,59
2019-04-21,55
2019-04-28,61
2019-05-05,60
2019-05-12,68
2019-05-19,59
2019-05-26,56
2019-06-02,57
2019-06-09,61
2019-06-16,57
2019-06-23,53
2019-06-30,52
2019-07-07,54
2019-07-14,52
2019-07-21,51
2019-07-28,55
2019-08-04,58
2019-08-11,53
2019-08-18,57
2019-08-25,56
2019-09-01,69
2019-09-08,68
2019-09-15,73
2019-09-22,73
2019-09-29,71
2019-10-06,72
2019-10-13,59
2019-10-20,60
2019-10-27,59
2019-11-03,57
2019-11-10,59
2019-11-17,55
2019-11-24,51
2019-12-01,50
2019-12-08,47
2019-12-15,47
2019-12-22,46
2019-12-29,76
2020-01-05,78
2020-01-12,74
2020-01-19,75
2020-01-26,72
2020-02-02,69
2020-02-09,66
2020-02-16,64
2020-02-23,63
2020-03-01,65
2020-03-08,63
2020-03-15,73
2020-03-22,80
2020-03-29,90
2020-04-05,96
2020-04-12,100
2020-04-19,95
2020-04-26,99
2020-05-03,92
2020-05-10,92
2020-05-17,86
2020-05-24,80
2020-05-31,76
2020-06-07,80
2020-06-14,77
2020-06-21,70
2020-06-28,75
2020-07-05,70
2020-07-12,70
2020-07-19,75
2020-07-26,78
2020-08-02,70
2020-08-09,66
2020-08-16,69
2020-08-23,69
2020-08-30,70
2020-09-06,69
2020-09-13,67
2020-09-20,72
2020-09-27,71
2020-10-04,97
2020-10-11,87
2020-10-18,78
2020-10-25,77
2020-11-01,67
