Category: All categories

Week,coffee: (United Kingdom)
2018-04-15,65
2018-04-22,62
2018-04-29,64
2018-05-06,60
2018-05-13,58
2018-05-20,60
2018-05-27,65
2018-06-03,61
2018-06-10,62
2018-06-17,62
2018-06-24,58
2018-07-01,57
2018-07-08,60
2018-07-15,66
2018-07-22,66
2018-07-29,68
2018-08-05,68
2018-08-12,72
2018-08-19,73
2018-08-26,79
2018-09-02,72
2018-09-09,75
2018-09-16,75
2018-09-23,77
2018-09-30,71
2018-10-07,70
2018-10-14,71
2018-10-21,73
2018-10-28,77
2018-11-04,75
2018-11-11,76
2018-11-18,84
2018-11-25,80
2018-12-02,75
2018-12-09,78
2018-12-16,77
2018-12-23,81
2018-12-30,80
2019-01-06,73
2019-01-13,75
2019-01-20,71
2019-01-27,71
2019-02-03,72
2019-02-10,72
2019-02-17,74
2019-02-24,67
2019-03-03,70
2019-03-10,70
2019-03-17,72
2019-03-24,72
2019-03-31,68
2019-04-07,71
2019-04-14,68
2019-04-21,68
2019-04-28,68
2019-05-05,75
2019-05-12,68
2019-05-19,66
2019-05-26,67
2019-06-02,67
2019-06-09,69
2019-06-16,69
2019-06-23,68
2019-06-30,67
2019-07-07,67
2019-07-14,70
2019-07-21,68
2019-07-28,71
2019-08-04,72
2019-08-11,74
2019-08-18,74
2019-08-25,72
2019-09-01,73
2019-09-08,73
2019-09-15,75
2019-09-22,79
2019-09-29,100
2019-10-06,75
2019-10-13,75
2019-10-20,75
2019-10-27,74
2019-11-03,78
2019-11-10,79
2019-11-17,84
2019-11-24,86
2019-12-01,83
2019-12-08,79
2019-12-15,81
2019-12-22,85
2019-12-29,83
2020-01-05,78
2020-01-12,78
2020-01-19,77
2020-01-26,73
2020-02-02,76
2020-02-09,73
2020-02-16,76
2020-02-23,70
2020-03-01,70
2020-03-08,64
2020-03-15,60
2020-03-22,57
2020-03-29,77
2020-04-05,83
2020-04-12,80
2020-04-19,79
2020-04-26,78
2020-05-03,81
2020-05-10,81
2020-05-17,85
2020-05-24,84
2020-05-31,80
2020-06-07,83
2020-06-14,81
2020-06-21,78
2020-06-28,81
2020-07-05,81
2020-07-12,78
2020-07-19,81
2020-07-26,82
2020-08-02,82
2020-08-09,78
2020-08-16,82
2020-08-23,84
2020-08-30,86
2020-09-06,85
2020-09-13,81
2020-09-20,84
2020-09-27,85
2020-10-04,85
2020-10-11,86
2020-10-18,86
2020-10-25,92
2020-11-01,83
