Category: All categories

Week,spices: (United Kingdom)
2018-04-15,44
2018-04-22,53
2018-04-29,47
2018-05-06,42
2018-05-13,44
2018-05-20,51
2018-05-27,53
2018-06-03,54
2018-06-10,49
2018-06-17,46
2018-06-24,38
2018-07-01,40
2018-07-08,43
2018-07-15,41
2018-07-22,51
2018-07-29,45
2018-08-05,51
2018-08-12,58
2018-08-19,60
2018-08-26,62
2018-09-02,55
2018-09-09,64
2018-09-16,60
2018-09-23,60
2018-09-30,57
2018-10-07,54
2018-10-14,57
2018-10-21,59
2018-10-28,61
2018-11-04,56
2018-11-11,63
2018-11-18,58
2018-11-25,61
2018-12-02,59
2018-12-09,68
2018-12-16,60
2018-12-23,79
2018-12-30,69
2019-01-06,69
2019-01-13,60
2019-01-20,66
2019-01-27,62
2019-02-03,68
2019-02-10,69
2019-02-17,58
2019-02-24,59
2019-03-03,57
2019-03-10,58
2019-03-17,56
2019-03-24,55
2019-03-31,67
2019-04-07,64
2019-04-14,53
2019-04-21,53
2019-04-28,50
2019-05-05,67
2019-05-12,58
2019-05-19,42
2019-05-26,48
2019-06-02,55
2019-06-09,48
2019-06-16,53
2019-06-23,53
2019-06-30,46
2019-07-07,54
2019-07-14,49
2019-07-21,49
2019-07-28,58
2019-08-04,58
2019-08-11,58
2019-08-18,58
2019-08-25,54
2019-09-01,55
2019-09-08,49
2019-09-15,53
2019-09-22,53
2019-09-29,54
2019-10-06,63
2019-10-13,60
2019-10-20,54
2019-10-27,63
2019-11-03,61
2019-11-10,58
2019-11-17,62
2019-11-24,54
2019-12-01,59
2019-12-08,62
2019-12-15,69
2019-12-22,76
2019-12-29,62
2020-01-05,72
2020-01-12,73
2020-01-19,60
2020-01-26,69
2020-02-02,71
2020-02-09,66
2020-02-16,53
2020-02-23,58
2020-03-01,63
2020-03-08,63
2020-03-15,53
2020-03-22,79
2020-03-29,92
2020-04-05,98
2020-04-12,100
2020-04-19,92
2020-04-26,98
2020-05-03,93
2020-05-10,81
2020-05-17,79
2020-05-24,83
2020-05-31,75
2020-06-07,70
2020-06-14,73
2020-06-21,67
2020-06-28,68
2020-07-05,73
2020-07-12,69
2020-07-19,63
2020-07-26,61
2020-08-02,64
2020-08-09,60
2020-08-16,76
2020-08-23,65
2020-08-30,68
2020-09-06,72
2020-09-13,63
2020-09-20,72
2020-09-27,74
2020-10-04,83
2020-10-11,79
2020-10-18,77
2020-10-25,79
2020-11-01,77
