Category: All categories

Week,take away: (United Kingdom)
2018-04-15,52
2018-04-22,55
2018-04-29,57
2018-05-06,56
2018-05-13,54
2018-05-20,52
2018-05-27,55
2018-06-03,49
2018-06-10,49
2018-06-17,53
2018-06-24,49
2018-07-01,56
2018-07-08,62
2018-07-15,56
2018-07-22,62
2018-07-29,58
2018-08-05,60
2018-08-12,69
2018-08-19,69
2018-08-26,74
2018-09-02,64
2018-09-09,61
2018-09-16,66
2018-09-23,64
2018-09-30,51
2018-10-07,57
2018-10-14,54
2018-10-21,58
2018-10-28,54
2018-11-04,53
2018-11-11,57
2018-11-18,56
2018-11-25,52
2018-12-02,51
2018-12-09,53
2018-12-16,54
2018-12-23,58
2018-12-30,65
2019-01-06,52
2019-01-13,56
2019-01-20,49
2019-01-27,50
2019-02-03,61
2019-02-10,53
2019-02-17,54
2019-02-24,55
2019-03-03,50
2019-03-10,47
2019-03-17,58
2019-03-24,53
2019-03-31,73
2019-04-07,79
2019-04-14,79
2019-04-21,71
2019-04-28,53
2019-05-05,49
2019-05-12,52
2019-05-19,51
2019-05-26,56
2019-06-02,53
2019-06-09,47
2019-06-16,48
2019-06-23,54
2019-06-30,48
2019-07-07,51
2019-07-14,53
2019-07-21,57
2019-07-28,54
2019-08-04,51
2019-08-11,59
2019-08-18,57
2019-08-25,71
2019-09-01,57
2019-09-08,53
2019-09-15,52
2019-09-22,53
2019-09-29,57
2019-10-06,59
2019-10-13,52
2019-10-20,54
2019-10-27,48
2019-11-03,54
2019-11-10,50
2019-11-17,53
2019-11-24,52
2019-12-01,51
2019-12-08,46
2019-12-15,48
2019-12-22,56
2019-12-29,57
2020-01-05,47
2020-01-12,47
2020-01-19,50
2020-01-26,54
2020-02-02,52
2020-02-09,51
2020-02-16,55
2020-02-23,55
2020-03-01,55
2020-03-08,48
2020-03-15,71
2020-03-22,100
2020-03-29,81
2020-04-05,73
2020-04-12,97
2020-04-19,79
2020-04-26,90
2020-05-03,89
2020-05-10,90
2020-05-17,91
2020-05-24,98
2020-05-31,90
2020-06-07,95
2020-06-14,91
2020-06-21,91
2020-06-28,85
2020-07-05,84
2020-07-12,78
2020-07-19,84
2020-07-26,89
2020-08-02,94
2020-08-09,97
2020-08-16,92
2020-08-23,98
2020-08-30,93
2020-09-06,85
2020-09-13,82
2020-09-20,84
2020-09-27,82
2020-10-04,72
2020-10-11,62
2020-10-18,68
2020-10-25,67
2020-11-01,81
