Category: All categories

Week,toilet paper: (United Kingdom)
2018-04-15,3
2018-04-22,4
2018-04-29,4
2018-05-06,3
2018-05-13,3
2018-05-20,3
2018-05-27,4
2018-06-03,5
2018-06-10,3
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,4
2018-07-15,3
2018-07-22,5
2018-07-29,4
2018-08-05,4
2018-08-12,4
2018-08-19,5
2018-08-26,4
2018-09-02,4
2018-09-09,4
2018-09-16,5
2018-09-23,4
2018-09-30,7
2018-10-07,6
2018-10-14,5
2018-10-21,4
2018-10-28,5
2018-11-04,5
2018-11-11,5
2018-11-18,6
2018-11-25,6
2018-12-02,6
2018-12-09,5
2018-12-16,5
2018-12-23,4
2018-12-30,5
2019-01-06,4
2019-01-13,5
2019-01-20,6
2019-01-27,5
2019-02-03,4
2019-02-10,7
2019-02-17,23
2019-02-24,5
2019-03-03,5
2019-03-10,4
2019-03-17,5
2019-03-24,4
2019-03-31,5
2019-04-07,4
2019-04-14,5
2019-04-21,4
2019-04-28,4
2019-05-05,5
2019-05-12,4
2019-05-19,5
2019-05-26,4
2019-06-02,4
2019-06-09,6
2019-06-16,5
2019-06-23,5
2019-06-30,5
2019-07-07,5
2019-07-14,5
2019-07-21,4
2019-07-28,4
2019-08-04,5
2019-08-11,5
2019-08-18,5
2019-08-25,5
2019-09-01,5
2019-09-08,4
2019-09-15,5
2019-09-22,4
2019-09-29,5
2019-10-06,6
2019-10-13,7
2019-10-20,5
2019-10-27,6
2019-11-03,5
2019-11-10,4
2019-11-17,5
2019-11-24,6
2019-12-01,6
2019-12-08,5
2019-12-15,6
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,5
2020-02-09,5
2020-02-16,5
2020-02-23,5
2020-03-01,31
2020-03-08,90
2020-03-15,100
2020-03-22,40
2020-03-29,17
2020-04-05,10
2020-04-12,10
2020-04-19,9
2020-04-26,8
2020-05-03,9
2020-05-10,9
2020-05-17,8
2020-05-24,7
2020-05-31,7
2020-06-07,6
2020-06-14,6
2020-06-21,6
2020-06-28,6
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,6
2020-08-02,4
2020-08-09,4
2020-08-16,6
2020-08-23,6
2020-08-30,6
2020-09-06,5
2020-09-13,6
2020-09-20,9
2020-09-27,9
2020-10-04,7
2020-10-11,6
2020-10-18,7
2020-10-25,9
2020-11-01,7
