Category: All categories

Week,Pasta: (Germany)
2018-11-04,60
2018-11-11,64
2018-11-18,50
2018-11-25,57
2018-12-02,56
2018-12-09,62
2018-12-16,61
2018-12-23,65
2018-12-30,67
2019-01-06,64
2019-01-13,60
2019-01-20,59
2019-01-27,63
2019-02-03,64
2019-02-10,62
2019-02-17,61
2019-02-24,63
2019-03-03,57
2019-03-10,62
2019-03-17,64
2019-03-24,57
2019-03-31,62
2019-04-07,61
2019-04-14,59
2019-04-21,63
2019-04-28,63
2019-05-05,62
2019-05-12,67
2019-05-19,62
2019-05-26,63
2019-06-02,54
2019-06-09,61
2019-06-16,59
2019-06-23,54
2019-06-30,55
2019-07-07,56
2019-07-14,54
2019-07-21,57
2019-07-28,60
2019-08-04,63
2019-08-11,61
2019-08-18,60
2019-08-25,63
2019-09-01,61
2019-09-08,60
2019-09-15,63
2019-09-22,60
2019-09-29,70
2019-10-06,64
2019-10-13,60
2019-10-20,63
2019-10-27,65
2019-11-03,64
2019-11-10,65
2019-11-17,73
2019-11-24,53
2019-12-01,64
2019-12-08,62
2019-12-15,59
2019-12-22,70
2019-12-29,67
2020-01-05,67
2020-01-12,70
2020-01-19,67
2020-01-26,63
2020-02-02,64
2020-02-09,65
2020-02-16,66
2020-02-23,70
2020-03-01,65
2020-03-08,64
2020-03-15,67
2020-03-22,76
2020-03-29,81
2020-04-05,83
2020-04-12,83
2020-04-19,77
2020-04-26,100
2020-05-03,80
2020-05-10,71
2020-05-17,77
2020-05-24,76
2020-05-31,75
2020-06-07,73
2020-06-14,69
2020-06-21,63
2020-06-28,66
2020-07-05,74
2020-07-12,78
2020-07-19,73
2020-07-26,74
2020-08-02,67
2020-08-09,64
2020-08-16,65
2020-08-23,82
2020-08-30,83
2020-09-06,66
2020-09-13,64
2020-09-20,68
2020-09-27,75
2020-10-04,75
2020-10-11,82
2020-10-18,71
2020-10-25,75
2020-11-01,72
