Category: All categories

Week,Restaurant: (Germany)
2018-04-15,63
2018-04-22,62
2018-04-29,73
2018-05-06,76
2018-05-13,67
2018-05-20,72
2018-05-27,66
2018-06-03,63
2018-06-10,61
2018-06-17,59
2018-06-24,63
2018-07-01,67
2018-07-08,73
2018-07-15,75
2018-07-22,76
2018-07-29,75
2018-08-05,78
2018-08-12,81
2018-08-19,81
2018-08-26,75
2018-09-02,74
2018-09-09,76
2018-09-16,73
2018-09-23,72
2018-09-30,84
2018-10-07,78
2018-10-14,77
2018-10-21,78
2018-10-28,81
2018-11-04,74
2018-11-11,77
2018-11-18,74
2018-11-25,74
2018-12-02,77
2018-12-09,77
2018-12-16,74
2018-12-23,93
2018-12-30,84
2019-01-06,70
2019-01-13,70
2019-01-20,67
2019-01-27,69
2019-02-03,75
2019-02-10,82
2019-02-17,72
2019-02-24,75
2019-03-03,81
2019-03-10,74
2019-03-17,77
2019-03-24,77
2019-03-31,72
2019-04-07,73
2019-04-14,83
2019-04-21,76
2019-04-28,75
2019-05-05,78
2019-05-12,74
2019-05-19,70
2019-05-26,77
2019-06-02,71
2019-06-09,77
2019-06-16,79
2019-06-23,68
2019-06-30,75
2019-07-07,79
2019-07-14,82
2019-07-21,83
2019-07-28,89
2019-08-04,91
2019-08-11,88
2019-08-18,81
2019-08-25,79
2019-09-01,82
2019-09-08,80
2019-09-15,82
2019-09-22,81
2019-09-29,93
2019-10-06,86
2019-10-13,88
2019-10-20,86
2019-10-27,91
2019-11-03,85
2019-11-10,85
2019-11-17,83
2019-11-24,79
2019-12-01,80
2019-12-08,80
2019-12-15,80
2019-12-22,100
2019-12-29,99
2020-01-05,80
2020-01-12,79
2020-01-19,78
2020-01-26,78
2020-02-02,77
2020-02-09,85
2020-02-16,77
2020-02-23,73
2020-03-01,74
2020-03-08,55
2020-03-15,40
2020-03-22,26
2020-03-29,27
2020-04-05,27
2020-04-12,26
2020-04-19,26
2020-04-26,30
2020-05-03,37
2020-05-10,49
2020-05-17,63
2020-05-24,60
2020-05-31,70
2020-06-07,74
2020-06-14,71
2020-06-21,73
2020-06-28,81
2020-07-05,87
2020-07-12,92
2020-07-19,99
2020-07-26,99
2020-08-02,97
2020-08-09,96
2020-08-16,98
2020-08-23,98
2020-08-30,93
2020-09-06,96
2020-09-13,93
2020-09-20,92
2020-09-27,88
2020-10-04,88
2020-10-11,82
2020-10-18,72
2020-10-25,68
2020-11-01,35
