Category: All categories

Week,restaurant: (Netherlands)
2018-04-15,64
2018-04-22,68
2018-04-29,73
2018-05-06,75
2018-05-13,67
2018-05-20,67
2018-05-27,65
2018-06-03,67
2018-06-10,67
2018-06-17,70
2018-06-24,69
2018-07-01,66
2018-07-08,72
2018-07-15,75
2018-07-22,76
2018-07-29,84
2018-08-05,84
2018-08-12,88
2018-08-19,81
2018-08-26,77
2018-09-02,69
2018-09-09,71
2018-09-16,70
2018-09-23,74
2018-09-30,73
2018-10-07,76
2018-10-14,80
2018-10-21,84
2018-10-28,76
2018-11-04,76
2018-11-11,73
2018-11-18,69
2018-11-25,69
2018-12-02,69
2018-12-09,67
2018-12-16,71
2018-12-23,78
2018-12-30,77
2019-01-06,67
2019-01-13,65
2019-01-20,66
2019-01-27,66
2019-02-03,72
2019-02-10,75
2019-02-17,73
2019-02-24,69
2019-03-03,69
2019-03-10,65
2019-03-17,67
2019-03-24,68
2019-03-31,66
2019-04-07,71
2019-04-14,68
2019-04-21,70
2019-04-28,78
2019-05-05,68
2019-05-12,71
2019-05-19,67
2019-05-26,78
2019-06-02,68
2019-06-09,72
2019-06-16,68
2019-06-23,68
2019-06-30,70
2019-07-07,72
2019-07-14,77
2019-07-21,80
2019-07-28,88
2019-08-04,91
2019-08-11,88
2019-08-18,80
2019-08-25,75
2019-09-01,72
2019-09-08,70
2019-09-15,72
2019-09-22,71
2019-09-29,73
2019-10-06,75
2019-10-13,82
2019-10-20,85
2019-10-27,75
2019-11-03,77
2019-11-10,75
2019-11-17,75
2019-11-24,70
2019-12-01,71
2019-12-08,68
2019-12-15,67
2019-12-22,81
2019-12-29,77
2020-01-05,68
2020-01-12,75
2020-01-19,73
2020-01-26,70
2020-02-02,71
2020-02-09,78
2020-02-16,74
2020-02-23,77
2020-03-01,66
2020-03-08,52
2020-03-15,31
2020-03-22,25
2020-03-29,26
2020-04-05,26
2020-04-12,26
2020-04-19,26
2020-04-26,30
2020-05-03,33
2020-05-10,34
2020-05-17,37
2020-05-24,40
2020-05-31,59
2020-06-07,64
2020-06-14,68
2020-06-21,76
2020-06-28,77
2020-07-05,85
2020-07-12,90
2020-07-19,100
2020-07-26,100
2020-08-02,99
2020-08-09,92
2020-08-16,96
2020-08-23,88
2020-08-30,87
2020-09-06,90
2020-09-13,85
2020-09-20,79
2020-09-27,73
2020-10-04,64
2020-10-11,55
2020-10-18,37
2020-10-25,32
2020-11-01,27
