Category: All categories

Week,restaurant: (United Kingdom)
2018-04-15,59
2018-04-22,64
2018-04-29,63
2018-05-06,62
2018-05-13,60
2018-05-20,63
2018-05-27,67
2018-06-03,65
2018-06-10,66
2018-06-17,62
2018-06-24,63
2018-07-01,58
2018-07-08,61
2018-07-15,69
2018-07-22,71
2018-07-29,73
2018-08-05,74
2018-08-12,73
2018-08-19,72
2018-08-26,73
2018-09-02,70
2018-09-09,70
2018-09-16,69
2018-09-23,70
2018-09-30,68
2018-10-07,68
2018-10-14,68
2018-10-21,70
2018-10-28,68
2018-11-04,68
2018-11-11,67
2018-11-18,62
2018-11-25,64
2018-12-02,65
2018-12-09,65
2018-12-16,65
2018-12-23,67
2018-12-30,71
2019-01-06,65
2019-01-13,65
2019-01-20,69
2019-01-27,62
2019-02-03,71
2019-02-10,76
2019-02-17,70
2019-02-24,65
2019-03-03,64
2019-03-10,69
2019-03-17,70
2019-03-24,69
2019-03-31,68
2019-04-07,67
2019-04-14,67
2019-04-21,61
2019-04-28,62
2019-05-05,62
2019-05-12,63
2019-05-19,66
2019-05-26,67
2019-06-02,64
2019-06-09,67
2019-06-16,66
2019-06-23,64
2019-06-30,63
2019-07-07,67
2019-07-14,66
2019-07-21,69
2019-07-28,72
2019-08-04,75
2019-08-11,74
2019-08-18,73
2019-08-25,74
2019-09-01,68
2019-09-08,70
2019-09-15,69
2019-09-22,68
2019-09-29,68
2019-10-06,73
2019-10-13,69
2019-10-20,71
2019-10-27,69
2019-11-03,68
2019-11-10,69
2019-11-17,65
2019-11-24,62
2019-12-01,62
2019-12-08,72
2019-12-15,71
2019-12-22,70
2019-12-29,77
2020-01-05,65
2020-01-12,68
2020-01-19,71
2020-01-26,67
2020-02-02,69
2020-02-09,75
2020-02-16,70
2020-02-23,64
2020-03-01,61
2020-03-08,52
2020-03-15,35
2020-03-22,22
2020-03-29,25
2020-04-05,23
2020-04-12,25
2020-04-19,23
2020-04-26,24
2020-05-03,24
2020-05-10,24
2020-05-17,26
2020-05-24,24
2020-05-31,27
2020-06-07,26
2020-06-14,28
2020-06-21,33
2020-06-28,40
2020-07-05,53
2020-07-12,57
2020-07-19,66
2020-07-26,68
2020-08-02,88
2020-08-09,90
2020-08-16,98
2020-08-23,100
2020-08-30,85
2020-09-06,71
2020-09-13,66
2020-09-20,63
2020-09-27,61
2020-10-04,62
2020-10-11,56
2020-10-18,54
2020-10-25,55
2020-11-01,39
