Date_reported,Country,New_cases,Nom_new_cases,Inhabitants
03/01/2020,Germany,0,0,83902745
04/01/2020,Germany,0,0,83902745
05/01/2020,Germany,0,0,83902745
06/01/2020,Germany,0,0,83902745
07/01/2020,Germany,0,0,83902745
08/01/2020,Germany,0,0,83902745
09/01/2020,Germany,0,0,83902745
10/01/2020,Germany,0,0,83902745
11/01/2020,Germany,0,0,83902745
12/01/2020,Germany,0,0,83902745
13/01/2020,Germany,0,0,83902745
14/01/2020,Germany,0,0,83902745
15/01/2020,Germany,0,0,83902745
16/01/2020,Germany,0,0,83902745
17/01/2020,Germany,0,0,83902745
18/01/2020,Germany,0,0,83902745
19/01/2020,Germany,0,0,83902745
20/01/2020,Germany,0,0,83902745
21/01/2020,Germany,0,0,83902745
22/01/2020,Germany,0,0,83902745
23/01/2020,Germany,0,0,83902745
24/01/2020,Germany,0,0,83902745
25/01/2020,Germany,0,0,83902745
26/01/2020,Germany,0,0,83902745
27/01/2020,Germany,0,0,83902745
28/01/2020,Germany,1,0,83902745
29/01/2020,Germany,3,0,83902745
30/01/2020,Germany,0,0,83902745
31/01/2020,Germany,1,0,83902745
01/02/2020,Germany,2,0,83902745
02/02/2020,Germany,1,0,83902745
03/02/2020,Germany,1,0,83902745
04/02/2020,Germany,2,0,83902745
05/02/2020,Germany,0,0,83902745
06/02/2020,Germany,0,0,83902745
07/02/2020,Germany,1,0,83902745
08/02/2020,Germany,1,0,83902745
09/02/2020,Germany,0,0,83902745
10/02/2020,Germany,0,0,83902745
11/02/2020,Germany,0,0,83902745
12/02/2020,Germany,2,0,83902745
13/02/2020,Germany,0,0,83902745
14/02/2020,Germany,0,0,83902745
15/02/2020,Germany,0,0,83902745
16/02/2020,Germany,0,0,83902745
17/02/2020,Germany,0,0,83902745
18/02/2020,Germany,0,0,83902745
19/02/2020,Germany,0,0,83902745
20/02/2020,Germany,0,0,83902745
21/02/2020,Germany,0,0,83902745
22/02/2020,Germany,0,0,83902745
