date,score,country,term,translated_term,score_difference
2019-11-03,48,nl,baking,bakken,-1.0
2019-11-10,45,nl,baking,bakken,-2.0
2019-11-17,51,nl,baking,bakken,3.0
2019-11-24,46,nl,baking,bakken,-8.0
2019-12-01,51,nl,baking,bakken,7.0
2019-12-08,48,nl,baking,bakken,-5.0
2019-12-15,57,nl,baking,bakken,-3.0
2019-12-22,98,nl,baking,bakken,-2.0
2019-12-29,80,nl,baking,bakken,8.0
2020-01-05,52,nl,baking,bakken,3.0
2020-01-12,52,nl,baking,bakken,4.0
2020-01-19,50,nl,baking,bakken,1.0
2020-01-26,53,nl,baking,bakken,0.0
2020-02-02,53,nl,baking,bakken,0.0
2020-02-09,53,nl,baking,bakken,9.0
2020-02-16,49,nl,baking,bakken,4.0
2020-02-23,49,nl,baking,bakken,7.0
2020-03-01,46,nl,baking,bakken,-1.0
2020-03-08,51,nl,baking,bakken,2.0
2020-03-15,75,nl,baking,bakken,35.0
2020-03-22,83,nl,baking,bakken,40.0
2020-03-29,87,nl,baking,bakken,45.0
2020-04-05,80,nl,baking,bakken,42.0
2020-04-12,77,nl,baking,bakken,35.0
2020-04-19,67,nl,baking,bakken,31.0
2020-04-26,86,nl,baking,bakken,42.0
2020-05-03,70,nl,baking,bakken,28.0
2020-05-10,62,nl,baking,bakken,27.0
2020-05-17,64,nl,baking,bakken,29.0
2020-05-24,53,nl,baking,bakken,13.0
2020-05-31,52,nl,baking,bakken,12.0
2020-06-07,53,nl,baking,bakken,10.0
2020-06-14,48,nl,baking,bakken,15.0
2020-06-21,40,nl,baking,bakken,12.0
2020-06-28,45,nl,baking,bakken,12.0
2020-07-05,55,nl,baking,bakken,15.0
2020-07-12,49,nl,baking,bakken,10.0
2020-07-19,53,nl,baking,bakken,23.0
2020-07-26,47,nl,baking,bakken,9.0
2020-08-02,46,nl,baking,bakken,10.0
2020-08-09,42,nl,baking,bakken,-3.0
2020-08-16,49,nl,baking,bakken,6.0
2020-08-23,55,nl,baking,bakken,18.0
2020-08-30,49,nl,baking,bakken,12.0
2020-09-06,52,nl,baking,bakken,13.0
2020-09-13,50,nl,baking,bakken,13.0
2020-09-20,51,nl,baking,bakken,7.0
2020-09-27,56,nl,baking,bakken,13.0
2020-10-04,60,nl,baking,bakken,18.0
2020-10-11,67,nl,baking,bakken,20.0
2020-10-18,70,nl,baking,bakken,23.0
2020-10-25,70,nl,baking,bakken,24.0
2020-11-01,64,nl,baking,bakken,16.0
2019-11-03,28,uk,baking,baking,-1.0
2019-11-10,29,uk,baking,baking,1.0
2019-11-17,31,uk,baking,baking,3.0
2019-11-24,28,uk,baking,baking,0.0
2019-12-01,30,uk,baking,baking,-1.0
2019-12-08,28,uk,baking,baking,-3.0
2019-12-15,33,uk,baking,baking,0.0
2019-12-22,33,uk,baking,baking,1.0
2019-12-29,26,uk,baking,baking,-2.0
2020-01-05,26,uk,baking,baking,0.0
2020-01-12,28,uk,baking,baking,3.0
2020-01-19,26,uk,baking,baking,-1.0
2020-01-26,27,uk,baking,baking,2.0
2020-02-02,30,uk,baking,baking,2.0
2020-02-09,30,uk,baking,baking,0.0
2020-02-16,31,uk,baking,baking,4.0
2020-02-23,29,uk,baking,baking,3.0
2020-03-01,27,uk,baking,baking,-2.0
2020-03-08,29,uk,baking,baking,0.0
2020-03-15,36,uk,baking,baking,8.0
2020-03-22,65,uk,baking,baking,37.0
2020-03-29,92,uk,baking,baking,66.0
2020-04-05,100,uk,baking,baking,73.0
2020-04-12,98,uk,baking,baking,69.0
2020-04-19,87,uk,baking,baking,64.0
2020-04-26,94,uk,baking,baking,72.0
2020-05-03,92,uk,baking,baking,68.0
2020-05-10,84,uk,baking,baking,62.0
2020-05-17,77,uk,baking,baking,54.0
2020-05-24,64,uk,baking,baking,37.0
2020-05-31,61,uk,baking,baking,38.0
2020-06-07,58,uk,baking,baking,36.0
2020-06-14,51,uk,baking,baking,28.0
2020-06-21,44,uk,baking,baking,20.0
2020-06-28,46,uk,baking,baking,22.0
2020-07-05,42,uk,baking,baking,18.0
2020-07-12,39,uk,baking,baking,16.0
2020-07-19,40,uk,baking,baking,17.0
2020-07-26,36,uk,baking,baking,10.0
2020-08-02,32,uk,baking,baking,5.0
2020-08-09,32,uk,baking,baking,4.0
2020-08-16,32,uk,baking,baking,5.0
2020-08-23,33,uk,baking,baking,5.0
2020-08-30,32,uk,baking,baking,2.0
2020-09-06,32,uk,baking,baking,4.0
2020-09-13,29,uk,baking,baking,-1.0
2020-09-20,34,uk,baking,baking,4.0
2020-09-27,37,uk,baking,baking,9.0
2020-10-04,40,uk,baking,baking,11.0
2020-10-11,41,uk,baking,baking,12.0
2020-10-18,41,uk,baking,baking,11.0
2020-10-25,51,uk,baking,baking,18.0
2020-11-01,38,uk,baking,baking,10.0
2019-11-03,38,ger,baking,backen,2.0
2019-11-10,42,ger,baking,backen,6.0
2019-11-17,44,ger,baking,backen,5.0
2019-11-24,46,ger,baking,backen,5.0
2019-12-01,48,ger,baking,backen,6.0
2019-12-08,44,ger,baking,backen,5.0
2019-12-15,46,ger,baking,backen,7.0
2019-12-22,41,ger,baking,backen,7.0
2019-12-29,33,ger,baking,backen,3.0
2020-01-05,26,ger,baking,backen,1.0
2020-01-12,29,ger,baking,backen,5.0
2020-01-19,31,ger,baking,backen,5.0
2020-01-26,35,ger,baking,backen,5.0
2020-02-02,33,ger,baking,backen,5.0
2020-02-09,39,ger,baking,backen,7.0
2020-02-16,40,ger,baking,backen,8.0
2020-02-23,40,ger,baking,backen,10.0
2020-03-01,41,ger,baking,backen,6.0
2020-03-08,40,ger,baking,backen,5.0
2020-03-15,60,ger,baking,backen,28.0
2020-03-22,70,ger,baking,backen,40.0
2020-03-29,76,ger,baking,backen,48.0
2020-04-05,100,ger,baking,backen,69.0
2020-04-12,55,ger,baking,backen,6.0
2020-04-19,45,ger,baking,backen,19.0
2020-04-26,53,ger,baking,backen,26.0
2020-05-03,48,ger,baking,backen,19.0
2020-05-10,43,ger,baking,backen,19.0
2020-05-17,47,ger,baking,backen,21.0
2020-05-24,40,ger,baking,backen,12.0
2020-05-31,41,ger,baking,backen,18.0
2020-06-07,44,ger,baking,backen,17.0
2020-06-14,35,ger,baking,backen,14.0
2020-06-21,29,ger,baking,backen,11.0
2020-06-28,31,ger,baking,backen,13.0
2020-07-05,32,ger,baking,backen,10.0
2020-07-12,31,ger,baking,backen,8.0
2020-07-19,29,ger,baking,backen,8.0
2020-07-26,28,ger,baking,backen,6.0
2020-08-02,28,ger,baking,backen,4.0
2020-08-09,27,ger,baking,backen,3.0
2020-08-16,27,ger,baking,backen,4.0
2020-08-23,31,ger,baking,backen,10.0
2020-08-30,29,ger,baking,backen,-1.0
2020-09-06,30,ger,baking,backen,-2.0
2020-09-13,29,ger,baking,backen,-5.0
2020-09-20,30,ger,baking,backen,-6.0
2020-09-27,34,ger,baking,backen,-8.0
2020-10-04,34,ger,baking,backen,-5.0
2020-10-11,34,ger,baking,backen,-7.0
2020-10-18,38,ger,baking,backen,-13.0
2020-10-25,42,ger,baking,backen,0.0
2020-11-01,47,ger,baking,backen,9.0
2019-11-03,20,ger,bananabread,bananenbrot,8.0
2019-11-10,18,ger,bananabread,bananenbrot,6.0
2019-11-17,15,ger,bananabread,bananenbrot,6.0
2019-11-24,12,ger,bananabread,bananenbrot,5.0
2019-12-01,13,ger,bananabread,bananenbrot,6.0
2019-12-08,11,ger,bananabread,bananenbrot,4.0
2019-12-15,9,ger,bananabread,bananenbrot,1.0
2019-12-22,11,ger,bananabread,bananenbrot,3.0
2019-12-29,18,ger,bananabread,bananenbrot,7.0
2020-01-05,16,ger,bananabread,bananenbrot,3.0
2020-01-12,19,ger,bananabread,bananenbrot,7.0
2020-01-19,23,ger,bananabread,bananenbrot,5.0
2020-01-26,24,ger,bananabread,bananenbrot,6.0
2020-02-02,24,ger,bananabread,bananenbrot,6.0
2020-02-09,22,ger,bananabread,bananenbrot,6.0
2020-02-16,21,ger,bananabread,bananenbrot,8.0
2020-02-23,23,ger,bananabread,bananenbrot,7.0
2020-03-01,26,ger,bananabread,bananenbrot,7.0
2020-03-08,31,ger,bananabread,bananenbrot,12.0
2020-03-15,46,ger,bananabread,bananenbrot,26.0
2020-03-22,86,ger,bananabread,bananenbrot,68.0
2020-03-29,100,ger,bananabread,bananenbrot,86.0
2020-04-05,77,ger,bananabread,bananenbrot,61.0
2020-04-12,67,ger,bananabread,bananenbrot,48.0
2020-04-19,56,ger,bananabread,bananenbrot,40.0
2020-04-26,54,ger,bananabread,bananenbrot,40.0
2020-05-03,40,ger,bananabread,bananenbrot,24.0
2020-05-10,36,ger,bananabread,bananenbrot,21.0
2020-05-17,30,ger,bananabread,bananenbrot,14.0
2020-05-24,33,ger,bananabread,bananenbrot,21.0
2020-05-31,28,ger,bananabread,bananenbrot,15.0
2020-06-07,27,ger,bananabread,bananenbrot,11.0
2020-06-14,27,ger,bananabread,bananenbrot,15.0
2020-06-21,19,ger,bananabread,bananenbrot,8.0
2020-06-28,26,ger,bananabread,bananenbrot,16.0
2020-07-05,24,ger,bananabread,bananenbrot,12.0
2020-07-12,22,ger,bananabread,bananenbrot,9.0
2020-07-19,20,ger,bananabread,bananenbrot,8.0
2020-07-26,21,ger,bananabread,bananenbrot,6.0
2020-08-02,19,ger,bananabread,bananenbrot,7.0
2020-08-09,19,ger,bananabread,bananenbrot,2.0
2020-08-16,18,ger,bananabread,bananenbrot,1.0
2020-08-23,24,ger,bananabread,bananenbrot,11.0
2020-08-30,21,ger,bananabread,bananenbrot,4.0
2020-09-06,21,ger,bananabread,bananenbrot,7.0
2020-09-13,21,ger,bananabread,bananenbrot,5.0
2020-09-20,22,ger,bananabread,bananenbrot,4.0
