date,score,country,term,translated_term,score_difference
2018-11-04,22,nl,takeaway,takeaway,
2018-11-11,25,nl,takeaway,takeaway,
2018-11-18,17,nl,takeaway,takeaway,
2018-11-25,24,nl,takeaway,takeaway,
2018-12-02,11,nl,takeaway,takeaway,
2018-12-09,22,nl,takeaway,takeaway,
2018-12-16,21,nl,takeaway,takeaway,
2018-12-23,25,nl,takeaway,takeaway,
2018-12-30,23,nl,takeaway,takeaway,
2019-01-06,28,nl,takeaway,takeaway,
2019-01-13,22,nl,takeaway,takeaway,
2019-01-20,27,nl,takeaway,takeaway,
2019-01-27,26,nl,takeaway,takeaway,
2019-02-03,27,nl,takeaway,takeaway,
2019-02-10,18,nl,takeaway,takeaway,
2019-02-17,41,nl,takeaway,takeaway,
2019-02-24,24,nl,takeaway,takeaway,
2019-03-03,26,nl,takeaway,takeaway,
2019-03-10,32,nl,takeaway,takeaway,
2019-03-17,20,nl,takeaway,takeaway,
2019-03-24,20,nl,takeaway,takeaway,
2019-03-31,18,nl,takeaway,takeaway,
2019-04-07,31,nl,takeaway,takeaway,
2019-04-14,22,nl,takeaway,takeaway,
2019-04-21,27,nl,takeaway,takeaway,
2019-04-28,27,nl,takeaway,takeaway,
2019-05-05,19,nl,takeaway,takeaway,
2019-05-12,21,nl,takeaway,takeaway,
2019-05-19,21,nl,takeaway,takeaway,
2019-05-26,26,nl,takeaway,takeaway,
2019-06-02,21,nl,takeaway,takeaway,
2019-06-09,23,nl,takeaway,takeaway,
2019-06-16,25,nl,takeaway,takeaway,
2019-06-23,26,nl,takeaway,takeaway,
2019-06-30,26,nl,takeaway,takeaway,
2019-07-07,20,nl,takeaway,takeaway,
2019-07-14,27,nl,takeaway,takeaway,
2019-07-21,29,nl,takeaway,takeaway,
2019-07-28,39,nl,takeaway,takeaway,
2019-08-04,25,nl,takeaway,takeaway,
2019-08-11,30,nl,takeaway,takeaway,
2019-08-18,24,nl,takeaway,takeaway,
2019-08-25,30,nl,takeaway,takeaway,
2019-09-01,24,nl,takeaway,takeaway,
2019-09-08,24,nl,takeaway,takeaway,
2019-09-15,18,nl,takeaway,takeaway,
2019-09-22,23,nl,takeaway,takeaway,
2019-09-29,25,nl,takeaway,takeaway,
2019-10-06,33,nl,takeaway,takeaway,
2019-10-13,31,nl,takeaway,takeaway,
2019-10-20,28,nl,takeaway,takeaway,
2019-10-27,29,nl,takeaway,takeaway,
2019-11-03,20,nl,takeaway,takeaway,-2.0
2019-11-10,26,nl,takeaway,takeaway,1.0
2019-11-17,26,nl,takeaway,takeaway,9.0
2019-11-24,22,nl,takeaway,takeaway,-2.0
2019-12-01,23,nl,takeaway,takeaway,12.0
2019-12-08,27,nl,takeaway,takeaway,5.0
2019-12-15,20,nl,takeaway,takeaway,-1.0
2019-12-22,23,nl,takeaway,takeaway,-2.0
2019-12-29,18,nl,takeaway,takeaway,-5.0
2020-01-05,32,nl,takeaway,takeaway,4.0
2020-01-12,26,nl,takeaway,takeaway,4.0
2020-01-19,26,nl,takeaway,takeaway,-1.0
2020-01-26,29,nl,takeaway,takeaway,3.0
2020-02-02,25,nl,takeaway,takeaway,-2.0
2020-02-09,40,nl,takeaway,takeaway,22.0
2020-02-16,22,nl,takeaway,takeaway,-19.0
2020-02-23,38,nl,takeaway,takeaway,14.0
2020-03-01,27,nl,takeaway,takeaway,1.0
2020-03-08,26,nl,takeaway,takeaway,-6.0
2020-03-15,39,nl,takeaway,takeaway,19.0
2020-03-22,35,nl,takeaway,takeaway,15.0
2020-03-29,44,nl,takeaway,takeaway,26.0
2020-04-05,44,nl,takeaway,takeaway,13.0
2020-04-12,38,nl,takeaway,takeaway,16.0
2020-04-19,42,nl,takeaway,takeaway,15.0
2020-04-26,72,nl,takeaway,takeaway,45.0
2020-05-03,82,nl,takeaway,takeaway,63.0
2020-05-10,78,nl,takeaway,takeaway,57.0
2020-05-17,73,nl,takeaway,takeaway,52.0
2020-05-24,54,nl,takeaway,takeaway,28.0
2020-05-31,38,nl,takeaway,takeaway,17.0
2020-06-07,48,nl,takeaway,takeaway,25.0
2020-06-14,37,nl,takeaway,takeaway,12.0
