,date,score,country,term,translated_term,score_difference
52,2019-11-03,59,nl,cooking,koken,4.0
53,2019-11-10,55,nl,cooking,koken,7.0
54,2019-11-17,55,nl,cooking,koken,5.0
55,2019-11-24,52,nl,cooking,koken,-1.0
56,2019-12-01,48,nl,cooking,koken,2.0
57,2019-12-08,50,nl,cooking,koken,-1.0
58,2019-12-15,49,nl,cooking,koken,1.0
59,2019-12-22,70,nl,cooking,koken,-3.0
60,2019-12-29,50,nl,cooking,koken,-2.0
61,2020-01-05,55,nl,cooking,koken,-1.0
62,2020-01-12,57,nl,cooking,koken,2.0
63,2020-01-19,54,nl,cooking,koken,4.0
64,2020-01-26,50,nl,cooking,koken,1.0
65,2020-02-02,55,nl,cooking,koken,1.0
66,2020-02-09,51,nl,cooking,koken,0.0
67,2020-02-16,51,nl,cooking,koken,1.0
68,2020-02-23,52,nl,cooking,koken,8.0
69,2020-03-01,47,nl,cooking,koken,-3.0
70,2020-03-08,46,nl,cooking,koken,-3.0
71,2020-03-15,53,nl,cooking,koken,5.0
72,2020-03-22,61,nl,cooking,koken,9.0
73,2020-03-29,71,nl,cooking,koken,16.0
74,2020-04-05,75,nl,cooking,koken,14.0
75,2020-04-12,100,nl,cooking,koken,33.0
76,2020-04-19,87,nl,cooking,koken,13.0
77,2020-04-26,89,nl,cooking,koken,21.0
78,2020-05-03,77,nl,cooking,koken,13.0
79,2020-05-10,81,nl,cooking,koken,20.0
80,2020-05-17,73,nl,cooking,koken,20.0
81,2020-05-24,60,nl,cooking,koken,5.0
82,2020-05-31,56,nl,cooking,koken,7.0
83,2020-06-07,61,nl,cooking,koken,10.0
84,2020-06-14,58,nl,cooking,koken,12.0
85,2020-06-21,47,nl,cooking,koken,7.0
86,2020-06-28,52,nl,cooking,koken,12.0
87,2020-07-05,52,nl,cooking,koken,9.0
88,2020-07-12,52,nl,cooking,koken,6.0
89,2020-07-19,53,nl,cooking,koken,12.0
90,2020-07-26,54,nl,cooking,koken,8.0
91,2020-08-02,53,nl,cooking,koken,2.0
92,2020-08-09,45,nl,cooking,koken,-10.0
93,2020-08-16,51,nl,cooking,koken,0.0
94,2020-08-23,54,nl,cooking,koken,7.0
95,2020-08-30,58,nl,cooking,koken,5.0
96,2020-09-06,59,nl,cooking,koken,7.0
97,2020-09-13,55,nl,cooking,koken,3.0
98,2020-09-20,57,nl,cooking,koken,1.0
99,2020-09-27,65,nl,cooking,koken,15.0
100,2020-10-04,64,nl,cooking,koken,12.0
101,2020-10-11,63,nl,cooking,koken,11.0
102,2020-10-18,66,nl,cooking,koken,14.0
103,2020-10-25,63,nl,cooking,koken,11.0
104,2020-11-01,59,nl,cooking,koken,0.0
