date,score,country,term,translated_term,score_difference,date_str,orig_score_diff,display_term,renamed_term,iso_num,iso_alpha,score_diff_positive
2019-11-03,38,ger,baking,backen,2,2019-11-03,2,baking,baking,276.0,DEU,positive
2019-11-10,42,ger,baking,backen,6,2019-11-10,6,baking,baking,276.0,DEU,positive
2019-11-17,44,ger,baking,backen,5,2019-11-17,5,baking,baking,276.0,DEU,positive
2019-11-24,46,ger,baking,backen,5,2019-11-24,5,baking,baking,276.0,DEU,positive
2019-12-01,48,ger,baking,backen,6,2019-12-01,6,baking,baking,276.0,DEU,positive
2019-12-08,44,ger,baking,backen,5,2019-12-08,5,baking,baking,276.0,DEU,positive
2019-12-15,46,ger,baking,backen,7,2019-12-15,7,baking,baking,276.0,DEU,positive
2019-12-22,41,ger,baking,backen,7,2019-12-22,7,baking,baking,276.0,DEU,positive
2019-12-29,33,ger,baking,backen,3,2019-12-29,3,baking,baking,276.0,DEU,positive
2020-01-05,26,ger,baking,backen,1,2020-01-05,1,baking,baking,276.0,DEU,positive
2020-01-12,29,ger,baking,backen,5,2020-01-12,5,baking,baking,276.0,DEU,positive
2020-01-19,31,ger,baking,backen,5,2020-01-19,5,baking,baking,276.0,DEU,positive
2020-01-26,35,ger,baking,backen,5,2020-01-26,5,baking,baking,276.0,DEU,positive
2020-02-02,33,ger,baking,backen,5,2020-02-02,5,baking,baking,276.0,DEU,positive
2020-02-09,39,ger,baking,backen,7,2020-02-09,7,baking,baking,276.0,DEU,positive
2020-02-16,40,ger,baking,backen,8,2020-02-16,8,baking,baking,276.0,DEU,positive
2020-02-23,40,ger,baking,backen,10,2020-02-23,10,baking,baking,276.0,DEU,positive
2020-03-01,41,ger,baking,backen,6,2020-03-01,6,baking,baking,276.0,DEU,positive
2020-03-08,40,ger,baking,backen,5,2020-03-08,5,baking,baking,276.0,DEU,positive
2020-03-15,60,ger,baking,backen,28,2020-03-15,28,baking,baking,276.0,DEU,positive
2020-03-22,70,ger,baking,backen,40,2020-03-22,40,baking,baking,276.0,DEU,positive
2020-03-29,76,ger,baking,backen,48,2020-03-29,48,baking,baking,276.0,DEU,positive
2020-04-05,100,ger,baking,backen,69,2020-04-05,69,baking,baking,276.0,DEU,positive
2020-04-12,55,ger,baking,backen,6,2020-04-12,6,baking,baking,276.0,DEU,positive
2020-04-19,45,ger,baking,backen,19,2020-04-19,19,baking,baking,276.0,DEU,positive
2020-04-26,53,ger,baking,backen,26,2020-04-26,26,baking,baking,276.0,DEU,positive
2020-05-03,48,ger,baking,backen,19,2020-05-03,19,baking,baking,276.0,DEU,positive
