Category: All categories

Week,Bananenbrot: (Germany)
2018-04-15,8
2018-04-22,11
2018-04-29,10
2018-05-06,10
2018-05-13,11
2018-05-20,10
2018-05-27,12
2018-06-03,9
2018-06-10,8
2018-06-17,10
2018-06-24,9
2018-07-01,8
2018-07-08,10
2018-07-15,12
2018-07-22,9
2018-07-29,8
2018-08-05,9
2018-08-12,8
2018-08-19,8
2018-08-26,10
2018-09-02,10
2018-09-09,11
2018-09-16,13
2018-09-23,11
2018-09-30,13
2018-10-07,13
2018-10-14,13
2018-10-21,15
2018-10-28,14
2018-11-04,12
2018-11-11,12
2018-11-18,9
2018-11-25,7
2018-12-02,7
2018-12-09,7
2018-12-16,8
2018-12-23,8
2018-12-30,11
2019-01-06,13
2019-01-13,12
2019-01-20,18
2019-01-27,18
2019-02-03,18
2019-02-10,16
2019-02-17,13
2019-02-24,16
2019-03-03,19
2019-03-10,19
2019-03-17,20
2019-03-24,18
2019-03-31,14
2019-04-07,16
2019-04-14,19
2019-04-21,16
2019-04-28,14
2019-05-05,16
2019-05-12,15
2019-05-19,16
2019-05-26,12
2019-06-02,13
2019-06-09,16
2019-06-16,12
2019-06-23,11
2019-06-30,10
2019-07-07,12
2019-07-14,13
2019-07-21,12
2019-07-28,15
2019-08-04,12
2019-08-11,17
2019-08-18,17
2019-08-25,13
2019-09-01,17
2019-09-08,14
2019-09-15,16
2019-09-22,18
2019-09-29,20
2019-10-06,15
2019-10-13,19
2019-10-20,17
2019-10-27,17
2019-11-03,20
2019-11-10,18
2019-11-17,15
2019-11-24,12
2019-12-01,13
2019-12-08,11
2019-12-15,9
2019-12-22,11
2019-12-29,18
2020-01-05,16
2020-01-12,19
2020-01-19,23
2020-01-26,24
2020-02-02,24
2020-02-09,22
2020-02-16,21
2020-02-23,23
2020-03-01,26
2020-03-08,31
2020-03-15,46
2020-03-22,86
2020-03-29,100
2020-04-05,77
2020-04-12,67
2020-04-19,56
2020-04-26,54
2020-05-03,40
2020-05-10,36
2020-05-17,30
2020-05-24,33
2020-05-31,28
2020-06-07,27
2020-06-14,27
2020-06-21,19
2020-06-28,26
2020-07-05,24
2020-07-12,22
2020-07-19,20
2020-07-26,21
2020-08-02,19
2020-08-09,19
2020-08-16,18
2020-08-23,24
2020-08-30,21
2020-09-06,21
2020-09-13,21
2020-09-20,22
2020-09-27,22
2020-10-04,23
2020-10-11,25
2020-10-18,27
2020-10-25,33
2020-11-01,31
