Category: All categories

Week,Maske: (Germany)
2018-11-04,4
2018-11-11,4
2018-11-18,4
2018-11-25,4
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,5
2018-12-30,5
2019-01-06,4
2019-01-13,5
2019-01-20,5
2019-01-27,5
2019-02-03,5
2019-02-10,5
2019-02-17,6
2019-02-24,6
2019-03-03,5
2019-03-10,5
2019-03-17,5
2019-03-24,4
2019-03-31,4
2019-04-07,4
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,4
2019-05-26,4
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,4
2019-06-30,4
2019-07-07,4
2019-07-14,4
2019-07-21,4
2019-07-28,4
2019-08-04,4
2019-08-11,4
2019-08-18,4
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,4
2019-09-22,5
2019-09-29,5
2019-10-06,5
2019-10-13,5
2019-10-20,6
2019-10-27,7
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,4
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,4
2019-12-29,4
2020-01-05,4
2020-01-12,4
2020-01-19,5
2020-01-26,9
2020-02-02,7
2020-02-09,6
2020-02-16,7
2020-02-23,23
2020-03-01,10
2020-03-08,11
2020-03-15,20
2020-03-22,25
2020-03-29,36
2020-04-05,30
2020-04-12,41
2020-04-19,100
2020-04-26,78
2020-05-03,36
2020-05-10,32
2020-05-17,24
2020-05-24,20
2020-05-31,17
2020-06-07,16
2020-06-14,16
2020-06-21,14
2020-06-28,15
2020-07-05,16
2020-07-12,18
2020-07-19,16
2020-07-26,17
2020-08-02,21
2020-08-09,22
2020-08-16,24
2020-08-23,24
2020-08-30,21
2020-09-06,19
2020-09-13,18
2020-09-20,19
2020-09-27,22
2020-10-04,25
2020-10-11,31
2020-10-18,40
2020-10-25,51
2020-11-01,35
