Category: All categories

Week,bonen: (Netherlands)
2018-11-04,63
2018-11-11,64
2018-11-18,69
2018-11-25,67
2018-12-02,66
2018-12-09,71
2018-12-16,69
2018-12-23,71
2018-12-30,73
2019-01-06,65
2019-01-13,81
2019-01-20,71
2019-01-27,69
2019-02-03,67
2019-02-10,69
2019-02-17,51
2019-02-24,47
2019-03-03,63
2019-03-10,73
2019-03-17,61
2019-03-24,52
2019-03-31,65
2019-04-07,55
2019-04-14,48
2019-04-21,50
2019-04-28,64
2019-05-05,60
2019-05-12,58
2019-05-19,59
2019-05-26,70
2019-06-02,60
2019-06-09,63
2019-06-16,53
2019-06-23,45
2019-06-30,37
2019-07-07,52
2019-07-14,56
2019-07-21,47
2019-07-28,53
2019-08-04,63
2019-08-11,69
2019-08-18,78
2019-08-25,59
2019-09-01,62
2019-09-08,69
2019-09-15,67
2019-09-22,72
2019-09-29,71
2019-10-06,49
2019-10-13,66
2019-10-20,68
2019-10-27,72
2019-11-03,70
2019-11-10,70
2019-11-17,71
2019-11-24,72
2019-12-01,57
2019-12-08,74
2019-12-15,62
2019-12-22,62
2019-12-29,71
2020-01-05,77
2020-01-12,79
2020-01-19,77
2020-01-26,80
2020-02-02,74
2020-02-09,71
2020-02-16,75
2020-02-23,74
2020-03-01,69
2020-03-08,71
2020-03-15,73
2020-03-22,81
2020-03-29,91
2020-04-05,83
2020-04-12,85
2020-04-19,81
2020-04-26,100
2020-05-03,83
2020-05-10,88
2020-05-17,79
2020-05-24,69
2020-05-31,70
2020-06-07,72
2020-06-14,73
2020-06-21,55
2020-06-28,70
2020-07-05,67
2020-07-12,65
2020-07-19,73
2020-07-26,82
2020-08-02,69
2020-08-09,61
2020-08-16,63
2020-08-23,71
2020-08-30,71
2020-09-06,71
2020-09-13,68
2020-09-20,72
2020-09-27,83
2020-10-04,88
2020-10-11,94
2020-10-18,88
2020-10-25,86
2020-11-01,80
