Category: All categories

Week,desinfectiemiddel: (Netherlands)
2018-11-04,0
2018-11-11,0
2018-11-18,2
2018-11-25,0
2018-12-02,0
2018-12-09,2
2018-12-16,0
2018-12-23,3
2018-12-30,0
2019-01-06,2
2019-01-13,2
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,0
2019-02-17,2
2019-02-24,4
2019-03-03,0
2019-03-10,0
2019-03-17,2
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,0
2019-05-19,0
2019-05-26,4
2019-06-02,0
2019-06-09,2
2019-06-16,6
2019-06-23,0
2019-06-30,2
2019-07-07,0
2019-07-14,9
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,2
2019-08-25,0
2019-09-01,2
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,0
2019-10-06,2
2019-10-13,0
2019-10-20,2
2019-10-27,2
2019-11-03,2
2019-11-10,4
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,2
2019-12-15,2
2019-12-22,0
2019-12-29,2
2020-01-05,2
2020-01-12,2
2020-01-19,0
2020-01-26,3
2020-02-02,0
2020-02-09,0
2020-02-16,6
2020-02-23,19
2020-03-01,14
2020-03-08,15
2020-03-15,29
2020-03-22,100
2020-03-29,9
2020-04-05,12
2020-04-12,6
2020-04-19,14
2020-04-26,10
2020-05-03,14
2020-05-10,25
2020-05-17,11
2020-05-24,13
2020-05-31,4
2020-06-07,7
2020-06-14,4
2020-06-21,4
2020-06-28,4
2020-07-05,5
2020-07-12,6
2020-07-19,4
2020-07-26,2
2020-08-02,4
2020-08-09,4
2020-08-16,8
2020-08-23,7
2020-08-30,2
2020-09-06,4
2020-09-13,3
2020-09-20,4
2020-09-27,5
2020-10-04,3
2020-10-11,7
2020-10-18,6
2020-10-25,4
2020-11-01,4
