Category: All categories

Week,pasta: (Netherlands)
2018-11-04,66
2018-11-11,67
2018-11-18,59
2018-11-25,63
2018-12-02,59
2018-12-09,61
2018-12-16,64
2018-12-23,56
2018-12-30,74
2019-01-06,72
2019-01-13,74
2019-01-20,67
2019-01-27,71
2019-02-03,76
2019-02-10,73
2019-02-17,72
2019-02-24,74
2019-03-03,71
2019-03-10,75
2019-03-17,67
2019-03-24,72
2019-03-31,71
2019-04-07,72
2019-04-14,71
2019-04-21,58
2019-04-28,74
2019-05-05,69
2019-05-12,70
2019-05-19,73
2019-05-26,69
2019-06-02,70
2019-06-09,65
2019-06-16,68
2019-06-23,69
2019-06-30,69
2019-07-07,74
2019-07-14,74
2019-07-21,79
2019-07-28,72
2019-08-04,68
2019-08-11,79
2019-08-18,79
2019-08-25,75
2019-09-01,70
2019-09-08,75
2019-09-15,74
2019-09-22,74
2019-09-29,72
2019-10-06,71
2019-10-13,71
2019-10-20,77
2019-10-27,74
2019-11-03,72
2019-11-10,66
2019-11-17,69
2019-11-24,65
2019-12-01,67
2019-12-08,65
2019-12-15,62
2019-12-22,58
2019-12-29,74
2020-01-05,88
2020-01-12,79
2020-01-19,78
2020-01-26,81
2020-02-02,81
2020-02-09,79
2020-02-16,84
2020-02-23,79
2020-03-01,87
2020-03-08,75
2020-03-15,70
2020-03-22,84
2020-03-29,86
2020-04-05,89
2020-04-12,96
2020-04-19,94
2020-04-26,100
2020-05-03,97
2020-05-10,97
2020-05-17,91
2020-05-24,87
2020-05-31,87
2020-06-07,93
2020-06-14,84
2020-06-21,80
2020-06-28,79
2020-07-05,86
2020-07-12,81
2020-07-19,90
2020-07-26,89
2020-08-02,89
2020-08-09,92
2020-08-16,91
2020-08-23,87
2020-08-30,87
2020-09-06,86
2020-09-13,86
2020-09-20,83
2020-09-27,84
2020-10-04,85
2020-10-11,92
2020-10-18,85
2020-10-25,87
2020-11-01,87
