Category: All categories

Week,rijst: (Netherlands)
2018-11-04,65
2018-11-11,63
2018-11-18,62
2018-11-25,58
2018-12-02,63
2018-12-09,60
2018-12-16,59
2018-12-23,52
2018-12-30,65
2019-01-06,72
2019-01-13,81
2019-01-20,68
2019-01-27,74
2019-02-03,77
2019-02-10,73
2019-02-17,74
2019-02-24,64
2019-03-03,73
2019-03-10,72
2019-03-17,65
2019-03-24,71
2019-03-31,63
2019-04-07,71
2019-04-14,53
2019-04-21,50
2019-04-28,66
2019-05-05,71
2019-05-12,73
2019-05-19,69
2019-05-26,58
2019-06-02,63
2019-06-09,61
2019-06-16,56
2019-06-23,50
2019-06-30,59
2019-07-07,63
2019-07-14,60
2019-07-21,51
2019-07-28,67
2019-08-04,76
2019-08-11,71
2019-08-18,69
2019-08-25,59
2019-09-01,70
2019-09-08,66
2019-09-15,67
2019-09-22,64
2019-09-29,65
2019-10-06,65
2019-10-13,66
2019-10-20,65
2019-10-27,65
2019-11-03,68
2019-11-10,58
2019-11-17,64
2019-11-24,67
2019-12-01,63
2019-12-08,52
2019-12-15,50
2019-12-22,52
2019-12-29,66
2020-01-05,85
2020-01-12,81
2020-01-19,81
2020-01-26,76
2020-02-02,75
2020-02-09,68
2020-02-16,80
2020-02-23,80
2020-03-01,72
2020-03-08,79
2020-03-15,80
2020-03-22,89
2020-03-29,90
2020-04-05,80
2020-04-12,86
2020-04-19,84
2020-04-26,100
2020-05-03,92
2020-05-10,87
2020-05-17,78
2020-05-24,81
2020-05-31,77
2020-06-07,84
2020-06-14,73
2020-06-21,69
2020-06-28,73
2020-07-05,78
2020-07-12,72
2020-07-19,76
2020-07-26,77
2020-08-02,72
2020-08-09,61
2020-08-16,71
2020-08-23,77
2020-08-30,80
2020-09-06,80
2020-09-13,74
2020-09-20,76
2020-09-27,84
2020-10-04,78
2020-10-11,83
2020-10-18,88
2020-10-25,87
2020-11-01,81
