Category: All categories

Week,koffie: (Netherlands)
2018-04-15,58
2018-04-22,67
2018-04-29,66
2018-05-06,57
2018-05-13,61
2018-05-20,62
2018-05-27,57
2018-06-03,70
2018-06-10,73
2018-06-17,61
2018-06-24,63
2018-07-01,64
2018-07-08,61
2018-07-15,62
2018-07-22,66
2018-07-29,83
2018-08-05,73
2018-08-12,74
2018-08-19,72
2018-08-26,69
2018-09-02,76
2018-09-09,68
2018-09-16,73
2018-09-23,75
2018-09-30,73
2018-10-07,81
2018-10-14,76
2018-10-21,78
2018-10-28,80
2018-11-04,84
2018-11-11,79
2018-11-18,82
2018-11-25,80
2018-12-02,89
2018-12-09,81
2018-12-16,74
2018-12-23,87
2018-12-30,78
2019-01-06,79
2019-01-13,75
2019-01-20,93
2019-01-27,91
2019-02-03,83
2019-02-10,76
2019-02-17,83
2019-02-24,75
2019-03-03,73
2019-03-10,72
2019-03-17,74
2019-03-24,76
2019-03-31,77
2019-04-07,79
2019-04-14,68
2019-04-21,67
2019-04-28,88
2019-05-05,76
2019-05-12,72
2019-05-19,75
2019-05-26,70
2019-06-02,68
2019-06-09,72
2019-06-16,68
2019-06-23,58
2019-06-30,68
2019-07-07,73
2019-07-14,69
2019-07-21,69
2019-07-28,76
2019-08-04,78
2019-08-11,80
2019-08-18,93
2019-08-25,73
2019-09-01,82
2019-09-08,83
2019-09-15,85
2019-09-22,78
2019-09-29,81
2019-10-06,84
2019-10-13,78
2019-10-20,86
2019-10-27,91
2019-11-03,87
2019-11-10,82
2019-11-17,87
2019-11-24,84
2019-12-01,84
2019-12-08,82
2019-12-15,83
2019-12-22,100
2019-12-29,83
2020-01-05,87
2020-01-12,89
2020-01-19,88
2020-01-26,93
2020-02-02,92
2020-02-09,82
2020-02-16,87
2020-02-23,85
2020-03-01,79
2020-03-08,69
2020-03-15,72
2020-03-22,69
2020-03-29,81
2020-04-05,70
2020-04-12,92
2020-04-19,81
2020-04-26,80
2020-05-03,80
2020-05-10,79
2020-05-17,84
2020-05-24,81
2020-05-31,79
2020-06-07,85
2020-06-14,82
2020-06-21,73
2020-06-28,83
2020-07-05,91
2020-07-12,94
2020-07-19,93
2020-07-26,86
2020-08-02,84
2020-08-09,79
2020-08-16,88
2020-08-23,85
2020-08-30,83
2020-09-06,92
2020-09-13,78
2020-09-20,85
2020-09-27,91
2020-10-04,93
2020-10-11,94
2020-10-18,88
2020-10-25,86
2020-11-01,82
