Category: All categories

Week,to go: (Netherlands)
2018-04-15,63
2018-04-22,69
2018-04-29,59
2018-05-06,68
2018-05-13,52
2018-05-20,61
2018-05-27,60
2018-06-03,61
2018-06-10,68
2018-06-17,66
2018-06-24,71
2018-07-01,77
2018-07-08,68
2018-07-15,66
2018-07-22,68
2018-07-29,78
2018-08-05,75
2018-08-12,73
2018-08-19,73
2018-08-26,63
2018-09-02,65
2018-09-09,72
2018-09-16,69
2018-09-23,61
2018-09-30,65
2018-10-07,61
2018-10-14,72
2018-10-21,68
2018-10-28,63
2018-11-04,64
2018-11-11,76
2018-11-18,83
2018-11-25,79
2018-12-02,76
2018-12-09,73
2018-12-16,65
2018-12-23,78
2018-12-30,72
2019-01-06,75
2019-01-13,71
2019-01-20,63
2019-01-27,61
2019-02-03,82
2019-02-10,78
2019-02-17,73
2019-02-24,78
2019-03-03,76
2019-03-10,66
2019-03-17,61
2019-03-24,66
2019-03-31,65
2019-04-07,66
2019-04-14,75
2019-04-21,69
2019-04-28,70
2019-05-05,74
2019-05-12,68
2019-05-19,71
2019-05-26,67
2019-06-02,71
2019-06-09,76
2019-06-16,78
2019-06-23,69
2019-06-30,77
2019-07-07,68
2019-07-14,79
2019-07-21,77
2019-07-28,82
2019-08-04,85
2019-08-11,83
2019-08-18,78
2019-08-25,79
2019-09-01,77
2019-09-08,76
2019-09-15,79
2019-09-22,84
2019-09-29,68
2019-10-06,74
2019-10-13,74
2019-10-20,74
2019-10-27,80
2019-11-03,66
2019-11-10,74
2019-11-17,80
2019-11-24,72
2019-12-01,71
2019-12-08,64
2019-12-15,69
2019-12-22,75
2019-12-29,75
2020-01-05,75
2020-01-12,76
2020-01-19,77
2020-01-26,69
2020-02-02,75
2020-02-09,81
2020-02-16,76
2020-02-23,81
2020-03-01,75
2020-03-08,62
2020-03-15,75
2020-03-22,81
2020-03-29,83
2020-04-05,74
2020-04-12,84
2020-04-19,83
2020-04-26,89
2020-05-03,97
2020-05-10,84
2020-05-17,97
2020-05-24,90
2020-05-31,83
2020-06-07,76
2020-06-14,79
2020-06-21,76
2020-06-28,69
2020-07-05,75
2020-07-12,90
2020-07-19,82
2020-07-26,77
2020-08-02,78
2020-08-09,76
2020-08-16,81
2020-08-23,86
2020-08-30,80
2020-09-06,82
2020-09-13,72
2020-09-20,81
2020-09-27,71
2020-10-04,72
2020-10-11,80
2020-10-18,96
2020-10-25,100
2020-11-01,87
