Category: All categories

Week,pasta: (United Kingdom)
2018-11-04,52
2018-11-11,52
2018-11-18,50
2018-11-25,48
2018-12-02,46
2018-12-09,46
2018-12-16,40
2018-12-23,35
2018-12-30,60
2019-01-06,69
2019-01-13,68
2019-01-20,62
2019-01-27,59
2019-02-03,62
2019-02-10,59
2019-02-17,59
2019-02-24,59
2019-03-03,60
2019-03-10,60
2019-03-17,58
2019-03-24,59
2019-03-31,55
2019-04-07,59
2019-04-14,53
2019-04-21,52
2019-04-28,55
2019-05-05,57
2019-05-12,54
2019-05-19,51
2019-05-26,52
2019-06-02,52
2019-06-09,55
2019-06-16,54
2019-06-23,50
2019-06-30,53
2019-07-07,53
2019-07-14,57
2019-07-21,52
2019-07-28,56
2019-08-04,58
2019-08-11,56
2019-08-18,57
2019-08-25,58
2019-09-01,59
2019-09-08,60
2019-09-15,57
2019-09-22,55
2019-09-29,57
2019-10-06,59
2019-10-13,55
2019-10-20,57
2019-10-27,54
2019-11-03,57
2019-11-10,56
2019-11-17,55
2019-11-24,51
2019-12-01,49
2019-12-08,47
2019-12-15,49
2019-12-22,38
2019-12-29,62
2020-01-05,74
2020-01-12,69
2020-01-19,70
2020-01-26,64
2020-02-02,67
2020-02-09,66
2020-02-16,66
2020-02-23,64
2020-03-01,67
2020-03-08,69
2020-03-15,93
2020-03-22,90
2020-03-29,100
2020-04-05,99
2020-04-12,100
2020-04-19,95
2020-04-26,89
2020-05-03,88
2020-05-10,88
2020-05-17,83
2020-05-24,77
2020-05-31,76
2020-06-07,76
2020-06-14,71
2020-06-21,69
2020-06-28,70
2020-07-05,68
2020-07-12,65
2020-07-19,69
2020-07-26,65
2020-08-02,67
2020-08-09,66
2020-08-16,65
2020-08-23,68
2020-08-30,71
2020-09-06,72
2020-09-13,65
2020-09-20,68
2020-09-27,70
2020-10-04,68
2020-10-11,69
2020-10-18,68
2020-10-25,65
2020-11-01,66
