Category: All categories

Week,grocery delivery: (United Kingdom)
2018-04-15,2
2018-04-22,2
2018-04-29,2
2018-05-06,2
2018-05-13,2
2018-05-20,2
2018-05-27,2
2018-06-03,2
2018-06-10,2
2018-06-17,1
2018-06-24,1
2018-07-01,2
2018-07-08,2
2018-07-15,3
2018-07-22,3
2018-07-29,2
2018-08-05,2
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,3
2018-10-07,3
2018-10-14,3
2018-10-21,2
2018-10-28,2
2018-11-04,2
2018-11-11,2
2018-11-18,2
2018-11-25,3
2018-12-02,3
2018-12-09,2
2018-12-16,3
2018-12-23,1
2018-12-30,2
2019-01-06,3
2019-01-13,3
2019-01-20,2
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,2
2019-02-24,2
2019-03-03,3
2019-03-10,3
2019-03-17,2
2019-03-24,3
2019-03-31,2
2019-04-07,2
2019-04-14,3
2019-04-21,2
2019-04-28,3
2019-05-05,2
2019-05-12,2
2019-05-19,1
2019-05-26,2
2019-06-02,3
2019-06-09,2
2019-06-16,3
2019-06-23,3
2019-06-30,3
2019-07-07,3
2019-07-14,2
2019-07-21,2
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,2
2019-09-29,3
2019-10-06,3
2019-10-13,3
2019-10-20,4
2019-10-27,3
2019-11-03,2
2019-11-10,4
2019-11-17,4
2019-11-24,3
2019-12-01,3
2019-12-08,3
2019-12-15,5
2019-12-22,3
2019-12-29,4
2020-01-05,4
2020-01-12,3
2020-01-19,3
2020-01-26,4
2020-02-02,3
2020-02-09,5
2020-02-16,4
2020-02-23,3
2020-03-01,5
2020-03-08,9
2020-03-15,43
2020-03-22,100
2020-03-29,63
2020-04-05,39
2020-04-12,32
2020-04-19,22
2020-04-26,16
2020-05-03,11
2020-05-10,12
2020-05-17,9
2020-05-24,8
2020-05-31,8
2020-06-07,6
2020-06-14,7
2020-06-21,6
2020-06-28,4
2020-07-05,5
2020-07-12,3
2020-07-19,5
2020-07-26,6
2020-08-02,6
2020-08-09,5
2020-08-16,5
2020-08-23,7
2020-08-30,8
2020-09-06,7
2020-09-13,5
2020-09-20,8
2020-09-27,9
2020-10-04,9
2020-10-11,7
2020-10-18,6
2020-10-25,6
2020-11-01,9
