Category: All categories

Week,to go: (United Kingdom)
2018-04-15,57
2018-04-22,55
2018-04-29,55
2018-05-06,57
2018-05-13,57
2018-05-20,56
2018-05-27,62
2018-06-03,57
2018-06-10,56
2018-06-17,56
2018-06-24,58
2018-07-01,59
2018-07-08,58
2018-07-15,60
2018-07-22,64
2018-07-29,65
2018-08-05,63
2018-08-12,61
2018-08-19,63
2018-08-26,64
2018-09-02,60
2018-09-09,58
2018-09-16,57
2018-09-23,57
2018-09-30,55
2018-10-07,58
2018-10-14,57
2018-10-21,61
2018-10-28,55
2018-11-04,55
2018-11-11,56
2018-11-18,56
2018-11-25,55
2018-12-02,53
2018-12-09,52
2018-12-16,49
2018-12-23,62
2018-12-30,70
2019-01-06,66
2019-01-13,63
2019-01-20,63
2019-01-27,59
2019-02-03,60
2019-02-10,60
2019-02-17,63
2019-02-24,61
2019-03-03,60
2019-03-10,57
2019-03-17,61
2019-03-24,60
2019-03-31,60
2019-04-07,63
2019-04-14,63
2019-04-21,61
2019-04-28,58
2019-05-05,60
2019-05-12,59
2019-05-19,62
2019-05-26,64
2019-06-02,59
2019-06-09,59
2019-06-16,62
2019-06-23,64
2019-06-30,63
2019-07-07,63
2019-07-14,67
2019-07-21,66
2019-07-28,67
2019-08-04,68
2019-08-11,67
2019-08-18,70
2019-08-25,68
2019-09-01,63
2019-09-08,60
2019-09-15,62
2019-09-22,62
2019-09-29,61
2019-10-06,60
2019-10-13,60
2019-10-20,61
2019-10-27,57
2019-11-03,57
2019-11-10,57
2019-11-17,58
2019-11-24,56
2019-12-01,53
2019-12-08,53
2019-12-15,53
2019-12-22,58
2019-12-29,67
2020-01-05,70
2020-01-12,67
2020-01-19,65
2020-01-26,64
2020-02-02,63
2020-02-09,62
2020-02-16,66
2020-02-23,63
2020-03-01,63
2020-03-08,70
2020-03-15,87
2020-03-22,100
2020-03-29,72
2020-04-05,65
2020-04-12,67
2020-04-19,69
2020-04-26,66
2020-05-03,68
2020-05-10,80
2020-05-17,73
2020-05-24,76
2020-05-31,70
2020-06-07,67
2020-06-14,69
2020-06-21,72
2020-06-28,74
2020-07-05,70
2020-07-12,69
2020-07-19,74
2020-07-26,79
2020-08-02,72
2020-08-09,72
2020-08-16,74
2020-08-23,72
2020-08-30,73
2020-09-06,67
2020-09-13,69
2020-09-20,68
2020-09-27,65
2020-10-04,63
2020-10-11,69
2020-10-18,71
2020-10-25,71
2020-11-01,63
