Category: All categories

Week,backen: (Germany)
2018-11-04,36
2018-11-11,36
2018-11-18,39
2018-11-25,41
2018-12-02,42
2018-12-09,39
2018-12-16,39
2018-12-23,34
2018-12-30,30
2019-01-06,25
2019-01-13,24
2019-01-20,26
2019-01-27,30
2019-02-03,28
2019-02-10,32
2019-02-17,32
2019-02-24,30
2019-03-03,35
2019-03-10,35
2019-03-17,32
2019-03-24,30
2019-03-31,28
2019-04-07,31
2019-04-14,49
2019-04-21,26
2019-04-28,27
2019-05-05,29
2019-05-12,24
2019-05-19,26
2019-05-26,28
2019-06-02,23
2019-06-09,27
2019-06-16,21
2019-06-23,18
2019-06-30,18
2019-07-07,22
2019-07-14,23
2019-07-21,21
2019-07-28,22
2019-08-04,24
2019-08-11,24
2019-08-18,23
2019-08-25,21
2019-09-01,30
2019-09-08,32
2019-09-15,34
2019-09-22,36
2019-09-29,42
2019-10-06,39
2019-10-13,41
2019-10-20,51
2019-10-27,42
2019-11-03,38
2019-11-10,42
2019-11-17,44
2019-11-24,46
2019-12-01,48
2019-12-08,44
2019-12-15,46
2019-12-22,41
2019-12-29,33
2020-01-05,26
2020-01-12,29
2020-01-19,31
2020-01-26,35
2020-02-02,33
2020-02-09,39
2020-02-16,40
2020-02-23,40
2020-03-01,41
2020-03-08,40
2020-03-15,60
2020-03-22,70
2020-03-29,76
2020-04-05,100
2020-04-12,55
2020-04-19,45
2020-04-26,53
2020-05-03,48
2020-05-10,43
2020-05-17,47
2020-05-24,40
2020-05-31,41
2020-06-07,44
2020-06-14,35
2020-06-21,29
2020-06-28,31
2020-07-05,32
2020-07-12,31
2020-07-19,29
2020-07-26,28
2020-08-02,28
2020-08-09,27
2020-08-16,27
2020-08-23,31
2020-08-30,29
2020-09-06,30
2020-09-13,29
2020-09-20,30
2020-09-27,34
2020-10-04,34
2020-10-11,34
2020-10-18,38
2020-10-25,42
2020-11-01,47
