Category: All categories

Week,baking: (United Kingdom)
2018-11-04,29
2018-11-11,28
2018-11-18,28
2018-11-25,28
2018-12-02,31
2018-12-09,31
2018-12-16,33
2018-12-23,32
2018-12-30,28
2019-01-06,26
2019-01-13,25
2019-01-20,27
2019-01-27,25
2019-02-03,28
2019-02-10,30
2019-02-17,27
2019-02-24,26
2019-03-03,29
2019-03-10,29
2019-03-17,28
2019-03-24,28
2019-03-31,26
2019-04-07,27
2019-04-14,29
2019-04-21,23
2019-04-28,22
2019-05-05,24
2019-05-12,22
2019-05-19,23
2019-05-26,27
2019-06-02,23
2019-06-09,22
2019-06-16,23
2019-06-23,24
2019-06-30,24
2019-07-07,24
2019-07-14,23
2019-07-21,23
2019-07-28,26
2019-08-04,27
2019-08-11,28
2019-08-18,27
2019-08-25,28
2019-09-01,30
2019-09-08,28
2019-09-15,30
2019-09-22,30
2019-09-29,28
2019-10-06,29
2019-10-13,29
2019-10-20,30
2019-10-27,33
2019-11-03,28
2019-11-10,29
2019-11-17,31
2019-11-24,28
2019-12-01,30
2019-12-08,28
2019-12-15,33
2019-12-22,33
2019-12-29,26
2020-01-05,26
2020-01-12,28
2020-01-19,26
2020-01-26,27
2020-02-02,30
2020-02-09,30
2020-02-16,31
2020-02-23,29
2020-03-01,27
2020-03-08,29
2020-03-15,36
2020-03-22,65
2020-03-29,92
2020-04-05,100
2020-04-12,98
2020-04-19,87
2020-04-26,94
2020-05-03,92
2020-05-10,84
2020-05-17,77
2020-05-24,64
2020-05-31,61
2020-06-07,58
2020-06-14,51
2020-06-21,44
2020-06-28,46
2020-07-05,42
2020-07-12,39
2020-07-19,40
2020-07-26,36
2020-08-02,32
2020-08-09,32
2020-08-16,32
2020-08-23,33
2020-08-30,32
2020-09-06,32
2020-09-13,29
2020-09-20,34
2020-09-27,37
2020-10-04,40
2020-10-11,41
2020-10-18,41
2020-10-25,51
2020-11-01,38
