"","Date_reported","Country","New_cases"
"31568","03/01/2020","Germany","0"
"31569","04/01/2020","Germany","0"
"31570","05/01/2020","Germany","0"
"31571","06/01/2020","Germany","0"
"31572","07/01/2020","Germany","0"
"31573","08/01/2020","Germany","0"
"31574","09/01/2020","Germany","0"
"31575","10/01/2020","Germany","0"
"31576","11/01/2020","Germany","0"
"31577","12/01/2020","Germany","0"
"31578","13/01/2020","Germany","0"
"31579","14/01/2020","Germany","0"
"31580","15/01/2020","Germany","0"
"31581","16/01/2020","Germany","0"
"31582","17/01/2020","Germany","0"
"31583","18/01/2020","Germany","0"
"31584","19/01/2020","Germany","0"
"31585","20/01/2020","Germany","0"
"31586","21/01/2020","Germany","0"
"31587","22/01/2020","Germany","0"
"31588","23/01/2020","Germany","0"
"31589","24/01/2020","Germany","0"
"31590","25/01/2020","Germany","0"
"31591","26/01/2020","Germany","0"
"31592","27/01/2020","Germany","0"
"31593","28/01/2020","Germany","1"
"31594","29/01/2020","Germany","3"
"31595","30/01/2020","Germany","0"
"31596","31/01/2020","Germany","1"
"31597","01/02/2020","Germany","2"
"31598","02/02/2020","Germany","1"
"31599","03/02/2020","Germany","1"
"31600","04/02/2020","Germany","2"
"31601","05/02/2020","Germany","0"
"31602","06/02/2020","Germany","0"
"31603","07/02/2020","Germany","1"
"31604","08/02/2020","Germany","1"
"31605","09/02/2020","Germany","0"
"31606","10/02/2020","Germany","0"
"31607","11/02/2020","Germany","0"
"31608","12/02/2020","Germany","2"
"31609","13/02/2020","Germany","0"
"31610","14/02/2020","Germany","0"
"31611","15/02/2020","Germany","0"
"31612","16/02/2020","Germany","0"
"31613","17/02/2020","Germany","0"
"31614","18/02/2020","Germany","0"
"31615","19/02/2020","Germany","0"
"31616","20/02/2020","Germany","0"
"31617","21/02/2020","Germany","0"
"31618","22/02/2020","Germany","0"
"31619","23/02/2020","Germany","0"
"31620","24/02/2020","Germany","0"
"31621","25/02/2020","Germany","0"
"31622","26/02/2020","Germany","2"
"31623","27/02/2020","Germany","4"
"31624","28/02/2020","Germany","26"
"31625","29/02/2020","Germany","10"
"31626","01/03/2020","Germany","54"
"31627","02/03/2020","Germany","18"
"31628","03/03/2020","Germany","28"
"31629","04/03/2020","Germany","39"
"31630","05/03/2020","Germany","66"
"31631","06/03/2020","Germany","138"
"31632","07/03/2020","Germany","284"
"31633","08/03/2020","Germany","163"
"31634","09/03/2020","Germany","55"
"31635","10/03/2020","Germany","237"
"31636","11/03/2020","Germany","157"
"31637","12/03/2020","Germany","271"
"31638","13/03/2020","Germany","802"
"31639","14/03/2020","Germany","693"
"31640","15/03/2020","Germany","733"
"31641","16/03/2020","Germany","1043"
"31642","17/03/2020","Germany","1174"
"31643","18/03/2020","Germany","1144"
"31644","19/03/2020","Germany","1042"
"31645","20/03/2020","Germany","5940"
"31646","21/03/2020","Germany","4049"
"31647","22/03/2020","Germany","3276"
"31648","23/03/2020","Germany","3311"
"31649","24/03/2020","Germany","4438"
