date,score,country,term,translated_term,score_difference,date_str
11.03.2019,38,ger,baking,backen,2.0,11.03.2019
11.10.2019,42,ger,baking,backen,6.0,11.10.2019
17.11.2019,44,ger,baking,backen,5.0,17.11.2019
24.11.2019,46,ger,baking,backen,5.0,24.11.2019
12.01.2019,48,ger,baking,backen,6.0,12.01.2019
12.08.2019,44,ger,baking,backen,5.0,12.08.2019
15.12.2019,46,ger,baking,backen,7.0,15.12.2019
22.12.2019,41,ger,baking,backen,7.0,22.12.2019
29.12.2019,33,ger,baking,backen,3.0,29.12.2019
01.05.2020,26,ger,baking,backen,1.0,01.05.2020
01.12.2020,29,ger,baking,backen,5.0,01.12.2020
19.01.2020,31,ger,baking,backen,5.0,19.01.2020
26.01.2020,35,ger,baking,backen,5.0,26.01.2020
02.02.2020,33,ger,baking,backen,5.0,02.02.2020
02.09.2020,39,ger,baking,backen,7.0,02.09.2020
16.02.2020,40,ger,baking,backen,8.0,16.02.2020
23.02.2020,40,ger,baking,backen,10.0,23.02.2020
03.01.2020,41,ger,baking,backen,6.0,03.01.2020
03.08.2020,40,ger,baking,backen,5.0,03.08.2020
15.03.2020,60,ger,baking,backen,28.0,15.03.2020
22.03.2020,70,ger,baking,backen,40.0,22.03.2020
29.03.2020,76,ger,baking,backen,48.0,29.03.2020
04.05.2020,100,ger,baking,backen,69.0,04.05.2020
04.12.2020,55,ger,baking,backen,6.0,04.12.2020
19.04.2020,45,ger,baking,backen,19.0,19.04.2020
26.04.2020,53,ger,baking,backen,26.0,26.04.2020
05.03.2020,48,ger,baking,backen,19.0,05.03.2020
05.10.2020,43,ger,baking,backen,19.0,05.10.2020
17.05.2020,47,ger,baking,backen,21.0,17.05.2020
24.05.2020,40,ger,baking,backen,12.0,24.05.2020
31.05.2020,41,ger,baking,backen,18.0,31.05.2020
06.07.2020,44,ger,baking,backen,17.0,06.07.2020
14.06.2020,35,ger,baking,backen,14.0,14.06.2020
21.06.2020,29,ger,baking,backen,11.0,21.06.2020
28.06.2020,31,ger,baking,backen,13.0,28.06.2020
07.05.2020,32,ger,baking,backen,10.0,07.05.2020
07.12.2020,31,ger,baking,backen,8.0,07.12.2020
19.07.2020,29,ger,baking,backen,8.0,19.07.2020
26.07.2020,28,ger,baking,backen,6.0,26.07.2020
08.02.2020,28,ger,baking,backen,4.0,08.02.2020
08.09.2020,27,ger,baking,backen,3.0,08.09.2020
16.08.2020,27,ger,baking,backen,4.0,16.08.2020
23.08.2020,31,ger,baking,backen,10.0,23.08.2020
30.08.2020,29,ger,baking,backen,-1.0,30.08.2020
09.06.2020,30,ger,baking,backen,-2.0,09.06.2020
13.09.2020,29,ger,baking,backen,-5.0,13.09.2020
20.09.2020,30,ger,baking,backen,-6.0,20.09.2020
27.09.2020,34,ger,baking,backen,-8.0,27.09.2020
10.04.2020,34,ger,baking,backen,-5.0,10.04.2020
10.11.2020,34,ger,baking,backen,-7.0,10.11.2020
18.10.2020,38,ger,baking,backen,-13.0,18.10.2020
25.10.2020,42,ger,baking,backen,0.0,25.10.2020
11.01.2020,47,ger,baking,backen,9.0,11.01.2020
11.03.2019,48,nl,baking,bakken,-1.0,11.03.2019
11.10.2019,45,nl,baking,bakken,-2.0,11.10.2019
17.11.2019,51,nl,baking,bakken,3.0,17.11.2019
24.11.2019,46,nl,baking,bakken,-8.0,24.11.2019
12.01.2019,51,nl,baking,bakken,7.0,12.01.2019
12.08.2019,48,nl,baking,bakken,-5.0,12.08.2019
15.12.2019,57,nl,baking,bakken,-3.0,15.12.2019
22.12.2019,98,nl,baking,bakken,-2.0,22.12.2019
29.12.2019,80,nl,baking,bakken,8.0,29.12.2019
01.05.2020,52,nl,baking,bakken,3.0,01.05.2020
01.12.2020,52,nl,baking,bakken,4.0,01.12.2020
19.01.2020,50,nl,baking,bakken,1.0,19.01.2020
26.01.2020,53,nl,baking,bakken,0.0,26.01.2020
02.02.2020,53,nl,baking,bakken,0.0,02.02.2020
02.09.2020,53,nl,baking,bakken,9.0,02.09.2020
16.02.2020,49,nl,baking,bakken,4.0,16.02.2020
23.02.2020,49,nl,baking,bakken,7.0,23.02.2020
03.01.2020,46,nl,baking,bakken,-1.0,03.01.2020
03.08.2020,51,nl,baking,bakken,2.0,03.08.2020
15.03.2020,75,nl,baking,bakken,35.0,15.03.2020
22.03.2020,83,nl,baking,bakken,40.0,22.03.2020
29.03.2020,87,nl,baking,bakken,45.0,29.03.2020
04.05.2020,80,nl,baking,bakken,42.0,04.05.2020
04.12.2020,77,nl,baking,bakken,35.0,04.12.2020
19.04.2020,67,nl,baking,bakken,31.0,19.04.2020
26.04.2020,86,nl,baking,bakken,42.0,26.04.2020
05.03.2020,70,nl,baking,bakken,28.0,05.03.2020
05.10.2020,62,nl,baking,bakken,27.0,05.10.2020
17.05.2020,64,nl,baking,bakken,29.0,17.05.2020
24.05.2020,53,nl,baking,bakken,13.0,24.05.2020
31.05.2020,52,nl,baking,bakken,12.0,31.05.2020
06.07.2020,53,nl,baking,bakken,10.0,06.07.2020
14.06.2020,48,nl,baking,bakken,15.0,14.06.2020
21.06.2020,40,nl,baking,bakken,12.0,21.06.2020
28.06.2020,45,nl,baking,bakken,12.0,28.06.2020
07.05.2020,55,nl,baking,bakken,15.0,07.05.2020
07.12.2020,49,nl,baking,bakken,10.0,07.12.2020
19.07.2020,53,nl,baking,bakken,23.0,19.07.2020
26.07.2020,47,nl,baking,bakken,9.0,26.07.2020
08.02.2020,46,nl,baking,bakken,10.0,08.02.2020
08.09.2020,42,nl,baking,bakken,-3.0,08.09.2020
16.08.2020,49,nl,baking,bakken,6.0,16.08.2020
23.08.2020,55,nl,baking,bakken,18.0,23.08.2020
30.08.2020,49,nl,baking,bakken,12.0,30.08.2020
09.06.2020,52,nl,baking,bakken,13.0,09.06.2020
13.09.2020,50,nl,baking,bakken,13.0,13.09.2020
20.09.2020,51,nl,baking,bakken,7.0,20.09.2020
27.09.2020,56,nl,baking,bakken,13.0,27.09.2020
10.04.2020,60,nl,baking,bakken,18.0,10.04.2020
10.11.2020,67,nl,baking,bakken,20.0,10.11.2020
18.10.2020,70,nl,baking,bakken,23.0,18.10.2020
25.10.2020,70,nl,baking,bakken,24.0,25.10.2020
11.01.2020,64,nl,baking,bakken,16.0,11.01.2020
11.03.2019,28,uk,baking,baking,-1.0,11.03.2019
11.10.2019,29,uk,baking,baking,1.0,11.10.2019
17.11.2019,31,uk,baking,baking,3.0,17.11.2019
24.11.2019,28,uk,baking,baking,0.0,24.11.2019
12.01.2019,30,uk,baking,baking,-1.0,12.01.2019
12.08.2019,28,uk,baking,baking,-3.0,12.08.2019
15.12.2019,33,uk,baking,baking,0.0,15.12.2019
22.12.2019,33,uk,baking,baking,1.0,22.12.2019
29.12.2019,26,uk,baking,baking,-2.0,29.12.2019
01.05.2020,26,uk,baking,baking,0.0,01.05.2020
01.12.2020,28,uk,baking,baking,3.0,01.12.2020
19.01.2020,26,uk,baking,baking,-1.0,19.01.2020
26.01.2020,27,uk,baking,baking,2.0,26.01.2020
02.02.2020,30,uk,baking,baking,2.0,02.02.2020
02.09.2020,30,uk,baking,baking,0.0,02.09.2020
16.02.2020,31,uk,baking,baking,4.0,16.02.2020
23.02.2020,29,uk,baking,baking,3.0,23.02.2020
03.01.2020,27,uk,baking,baking,-2.0,03.01.2020
03.08.2020,29,uk,baking,baking,0.0,03.08.2020
15.03.2020,36,uk,baking,baking,8.0,15.03.2020
22.03.2020,65,uk,baking,baking,37.0,22.03.2020
29.03.2020,92,uk,baking,baking,66.0,29.03.2020
